iter	RMSE
0	471927766.8
1	471129202.6
2	470376757.8
3	469667415.3
4	468999191.3
5	468369611.5
6	467776256.5
7	467217337.1
8	466691073.4
9	466195017.9
10	465728013.1
11	465443930.2
12	465002393.8
13	464738710.8
14	464326198.3
15	464081456.9
16	463846713.1
17	463457695
18	463239868.2
19	462876052.4
20	462673338.3
21	462328660
22	462135685.8
23	461808314.3
24	461653925.6
25	461508160.3
26	461201847.9
27	460898764.4
28	460612680.6
29	460496315.8
30	460375401.5
31	460275977
32	460003579.7
33	459741714.7
34	459645541.9
35	459369380
36	459243081.5
37	459003503.8
38	458919321.1
39	458841408.5
40	458602231.2
41	458530793.4
42	458424491.8
43	458204989.3
44	457960324.7
45	457729992.1
46	457530929.3
47	457448417.5
48	457323451.2
49	457264561.2
50	457057121.9
51	456631940.5
52	456561260.6
53	456446902.2
54	456252187.1
55	456203988.9
56	456023286.7
57	455918482.4
58	455519381
59	455420793.5
60	455375794.1
61	455195698.9
62	455153885.6
63	454974157.2
64	454884012.2
65	454799388.1
66	454719618.8
67	454644707
68	454268462.5
69	454231734.4
70	454161618.8
71	454127347.4
72	454061584
73	453999751.4
74	453953297.7
75	453908715.9
76	453876409.4
77	453819539.1
78	453466628.3
79	453425702.3
80	453386248.8
81	453333558.3
82	453001518.1
83	452702970.9
84	452390320
85	452350023
86	452322609.3
87	452294575.1
88	452245120.8
89	452198756
90	451904067.9
91	451866097.3
92	451830076.3
93	451797109.4
94	451516403.2
95	451487200.4
96	451443938.4
97	451179236.2
98	451145520.5
99	450868322.1
100	450607427.1
101	450585822
102	450556437.3
103	450307576.5
104	450073314
105	450031944.2
106	449810970.4
107	449771957.4
108	449751123.9
109	449714378.7
110	449679930.7
111	449652340.6
112	449443919.5
113	449423937.2
114	449404603.9
115	449385012.5
116	449365880.6
117	449120830.8
118	449102338
119	448906388.9
120	448881435.2
121	448696712.8
122	448466248.9
123	448444920.5
124	448412803.8
125	448389993.8
126	448359773.1
127	448326727.5
128	448152678.8
129	447935056.7
130	447771454.9
131	447754129.3
132	447734791.8
133	447703684.3
134	447498638.6
135	447305673.4
136	447287785.6
137	447106065.5
138	446951934.7
139	446933678.8
140	446916157.4
141	446894877.6
142	446879614.8
143	446862458.9
144	446846378
145	446819988.4
146	446789457.2
147	446643935.8
148	446472447.3
149	446446444.4
150	446417223.4
151	446280169.9
152	446258055.3
153	446242307.2
154	446218908.9
155	446191391.2
156	446175245.3
157	446150916.1
158	446136500.8
159	446006864.3
160	445884995.7
161	445723480.8
162	445571275.1
163	445555598.2
164	445534594.8
165	445519285.5
166	445504672.1
167	445492393.8
168	445478271.3
169	445363348.6
170	445349836.8
171	445206277.4
172	445183385.1
173	445052924.2
174	445040031.8
175	445020029.5
176	445006944.8
177	444988198.9
178	444973663.9
179	444962888.7
180	444849611
181	444831898.1
182	444804431.4
183	444781696.2
184	444768002.5
185	444746729.4
186	444724593.2
187	444698707
188	444592410.1
189	444579422.3
190	444562574.5
191	444551597.8
192	444529219.3
193	444508249.5
194	444373825
195	444361761.9
196	444349547.9
197	444339510.7
198	444234196.2
199	444163748.9
200	444142926.3
201	444131610.4
202	444119814.7
203	444103990.8
204	444079342.6
205	444059982.1
206	443993426.6
207	443972595.9
208	443874582.9
209	443856186.8
210	443847221.4
211	443832278.9
212	443821366.3
213	443807574.5
214	443709689.6
215	443690244.4
216	443670647.5
217	443652242.9
218	443641915.7
219	443627514.8
220	443618023.7
221	443594322.4
222	443585886.8
223	443573857.1
224	443562855.9
225	443500149.5
226	443480626.5
227	443463201.9
228	443452307.8
229	443324796
230	443313651.4
231	443304318.3
232	443290839.8
233	443282247.4
234	443189792.9
235	443179908
236	443157460.2
237	443147849.1
238	443134722.9
239	443125660.6
240	443114840.5
241	443075114.3
242	443067025.8
243	443049104.3
244	443038927.8
245	443029396.6
246	442970007.4
247	442957603.9
248	442945873.1
249	442930735.3
250	442918550.5
251	442907739.1
252	442818559.1
253	442810520.9
254	442754757.8
255	442744739.5
256	442659114.2
257	442643224.3
258	442522464.3
259	442513155.7
260	442460463
261	442453903.5
262	442445968.7
263	442435049.5
264	442426591.7
265	442414888.1
266	442407035.1
267	442397132.7
268	442374961.5
269	442365966.2
270	442358662.5
271	442275535.1
272	442226047.4
273	442216911.5
274	442208325.7
275	442200070
276	442193327.7
277	442178824.6
278	442170678.5
279	442149830.8
280	442142151.9
281	442134651.9
282	442123449.8
283	442043733
284	442018364.4
285	441941602.5
286	441905736.2
287	441858975
288	441850299.6
289	441839889
290	441829726
291	441819672.9
292	441811809.4
293	441793492.6
294	441749460.4
295	441735714.1
296	441713344.4
297	441704817.7
298	441697723.5
299	441689775.1
300	441682625.6
301	441676302.4
302	441664014.1
303	441646724.5
304	441640524.9
305	441631170.2
306	441622021.9
307	441614650.8
308	441607706.7
309	441601520.3
310	441559894.2
311	441553776
312	441533450.4
313	441525595.5
314	441504400.4
315	441494739.6
316	441478614.8
317	441469256.6
318	441449161.4
319	441442173.4
320	441436411.9
321	441427948.8
322	441419719.9
323	441412662.5
324	441338842.1
325	441330887.2
326	441322063.6
327	441315170.1
328	441296019.2
329	441277157.1
330	441264761.1
331	441149899.4
332	441143775.5
333	441132203.4
334	441062750.5
335	441053700.8
336	440933899.2
337	440915587.4
338	440876270.2
339	440867120.1
340	440851151.8
341	440844430.3
342	440838081.4
343	440831166.5
344	440824223.8
345	440813609.5
346	440798453.7
347	440727733.3
348	440721700.2
349	440684782
350	440677837.1
351	440613573.9
352	440606890.2
353	440597941.7
354	440563029.5
355	440556787
356	440539288.1
357	440522603.5
358	440515241.7
359	440508307.9
360	440499744.1
361	440493113.9
362	440487947.8
363	440375646.8
364	440370672.8
365	440364317
366	440346409.8
367	440240112.4
368	440234058.8
369	440228088.1
370	440219850.5
371	440214335.7
372	440208889.9
373	440193243.3
374	440187576.1
375	440179641.9
376	440173449.3
377	440160400.2
378	440154801.7
379	440138876.6
380	440106084.7
381	440100153.7
382	440094969.2
383	440090158
384	440082443.2
385	440071741.9
386	440057044.4
387	440025961.1
388	440019309.9
389	440014152.1
390	440004403.3
391	439996811.5
392	439981226.5
393	439975667.2
394	439968393
395	439956195.2
396	439942240.8
397	439929171
398	439920955.5
399	439822067.2
400	439804400.8
401	439789777.4
402	439723419.6
403	439708779.7
404	439646796.8
405	439617635.9
406	439589995.7
407	439584763.6
408	439558907
409	439553134.7
410	439545632
411	439540122.6
412	439535817.4
413	439530681.6
414	439525061.2
415	439520672.9
416	439496459.9
417	439486741.1
418	439479721.9
419	439474723.9
420	439467829
421	439460837.2
422	439456669.7
423	439444513.1
424	439439736.3
425	439432827
426	439419119
427	439406892.2
428	439348509
429	439341182.9
430	439332208.5
431	439325546.9
432	439320408.6
433	439303525.4
434	439247621.8
435	439242732
436	439236332.2
437	439229502.9
438	439221025
439	439217160
440	439164584.4
441	439160150.9
442	439154539.6
443	439149898.2
444	439143621.7
445	439137275.9
446	439132357.1
447	439128629.9
448	439123724.9
449	439119332.5
450	439096344.6
451	439085605.4
452	439080630.6
453	439069142.7
454	439064541.9
455	439052665.5
456	439030893.6
457	439027331.9
458	439019487.6
459	439015579.2
460	439007942.6
461	439002260.1
462	438991075.1
463	438941854.7
464	438934979.2
465	438930737.5
466	438925164.9
467	438921574.5
468	438816706.8
469	438812034
470	438806141
471	438802937.9
472	438798681
473	438793065.1
474	438788392.1
475	438780820.9
476	438764277.4
477	438759825.9
478	438751865.9
479	438748745.7
480	438728123.7
481	438723713.5
482	438676959.7
483	438633100.2
484	438628370
485	438622363.5
486	438603164.4
487	438598655.9
488	438594674.4
489	438589347.2
490	438584574.9
491	438580496.2
492	438576348.1
493	438572976.9
494	438557147.1
495	438543952.8
496	438532991.9
497	438514801.8
498	438511013.9
499	438507683.8
500	438501689.5
501	438497290.9
502	438493017.1
503	438486800.7
504	438483803.4
505	438476726.5
506	438472466.4
507	438461795.1
508	438456050
509	438450110.6
510	438433179.9
511	438429072.1
512	438387672.1
513	438381370.9
514	438376457.5
515	438372154.8
516	438357983.3
517	438354846.4
518	438350723.9
519	438337384.6
520	438321268.6
521	438282357.4
522	438279289.3
523	438272514.5
524	438262393.7
525	438258395.3
526	438253105.7
527	438248899
528	438212369.5
529	438206107.4
530	438190625.3
531	438187084.5
532	438182266.1
533	438179850
534	438176989.5
535	438172893.1
536	438168477.3
537	438158257
538	438154410.4
539	438151438.6
540	438148702.9
541	438144647.9
542	438140926.2
543	438135496.3
544	438129677.5
545	438115206.5
546	438109748.6
547	438107151.5
548	438091999.2
549	438088027
550	438084179.8
551	438071360.2
552	438067707.3
553	438063943.2
554	438029301.4
555	438025273.1
556	438021453.1
557	438018813.8
558	438012354.5
559	438010256.9
560	438007853.7
561	437998143.6
562	437986238.3
563	437982265.1
564	437978597.6
565	437972679.5
566	437958328.3
567	437955021.8
568	437947394.5
569	437941531.5
570	437938711.1
571	437936265.9
572	437922483.2
573	437909811.7
574	437905879.6
575	437902169.7
576	437896639.6
577	437890470.2
578	437886760.2
579	437884328.6
580	437878353.6
581	437873726.4
582	437866917.5
583	437862429.1
584	437850895.4
585	437845295.1
586	437842793.7
587	437839347.4
588	437835400.7
589	437830995.4
590	437828521.7
591	437826159.2
592	437823866.2
593	437818418.5
594	437808634.7
595	437776071.3
596	437770664.7
597	437767078.8
598	437764882.7
599	437750775
600	437747049.9
601	437716038.8
602	437713675.7
603	437708449
604	437696424.6
605	437693018.8
606	437680688.2
607	437670025.5
608	437666772.4
609	437664200.5
610	437658959.3
611	437629874.5
612	437626301.4
613	437624076.8
614	437619877.9
615	437614316.4
616	437611202
617	437607628.7
618	437604236.1
619	437600996.4
620	437595810.1
621	437591013
622	437588663.2
623	437586396.7
624	437575356.2
625	437573256.6
626	437569669
627	437564440.6
628	437552050.8
629	437549784.1
630	437546043.4
631	437542427.8
632	437539076.5
633	437536809.7
634	437532596.1
635	437505004.9
636	437495241.9
