iter	Passed	Remaining
0	85	102566
1	145	87403
2	223	88989
3	300	89752
4	505	120831
5	631	125665
6	674	115023
7	795	118593
8	895	118475
9	1040	123774
10	1094	118313
11	1134	112323
12	1166	106551
13	1194	101180
14	1236	97691
15	1281	94844
16	1333	92762
17	1398	91812
18	1484	92287
19	1505	88841
20	1575	88437
21	1625	87034
22	1716	87817
23	1777	87086
24	1892	88927
25	2018	91128
26	2182	94824
27	2359	98762
28	2511	101432
29	2601	101452
30	2671	100746
31	2719	99270
32	2752	97355
33	2790	95699
34	2833	94303
35	2882	93197
36	2967	93281
37	3045	93130
38	3171	94413
39	3257	94470
40	3317	93788
41	3358	92590
42	3454	92953
43	3602	94658
44	3705	95105
45	3806	95497
46	3879	95168
47	3933	94399
48	4040	94900
49	4111	94564
50	4137	93216
51	4165	91960
52	4188	90639
53	4223	89623
54	4261	88719
55	4338	88639
56	4429	88813
57	4455	87732
58	4506	87149
59	4560	86658
60	4613	86136
61	4666	85652
62	4691	84671
63	4729	83946
64	4847	84643
65	4933	84761
66	5030	85070
67	5227	87019
68	5347	87659
69	5402	87209
70	5421	86210
71	5511	86353
72	5623	86820
73	5687	86542
74	5726	85896
75	5802	85816
76	5907	86161
77	5940	85451
78	5977	84826
79	6012	84174
80	6053	83630
81	6118	83417
82	6179	83157
83	6235	82840
84	6416	84172
85	6562	85012
86	6715	85917
87	6806	86011
88	6897	86100
89	6942	85624
90	6972	84972
91	7015	84496
92	7077	84247
93	7113	83700
94	7177	83485
95	7222	83057
96	7266	82627
97	7340	82546
98	7411	82427
99	7454	82001
100	7492	81532
101	7554	81316
102	7622	81184
103	7648	80607
104	7677	80066
105	7756	80055
106	7878	80478
107	8027	81165
108	8057	80650
109	8085	80124
110	8114	79605
111	8134	79018
112	8153	78431
113	8172	77854
114	8194	77316
115	8236	76972
116	8317	76989
117	8370	76749
118	8392	76237
119	8415	75736
120	8437	75243
121	8472	74861
122	8562	74971
123	8587	74515
124	8610	74050
125	8633	73591
126	8656	73138
127	8679	72691
128	8702	72250
129	8725	71815
130	8782	71663
131	8883	71875
132	8942	71741
133	8988	71507
134	9082	71649
135	9138	71494
136	9298	72146
137	9426	72543
138	9504	72552
139	9577	72513
140	9632	72349
141	9710	72351
142	9756	72116
143	9796	71842
144	9882	71900
145	9919	71609
146	10000	71635
147	10049	71432
148	10072	71048
149	10094	70664
150	10152	70531
151	10197	70310
152	10248	70133
153	10271	69765
154	10324	69607
155	10366	69374
156	10424	69252
157	10461	68993
158	10498	68734
159	10591	68844
160	10733	69268
161	10841	69465
162	10909	69408
163	10969	69294
164	10996	68979
165	11016	68618
166	11051	68358
167	11114	68271
168	11142	67978
169	11192	67814
170	11264	67785
171	11307	67581
172	11371	67505
173	11423	67360
174	11448	67055
175	11525	67057
176	11584	66957
177	11622	66731
178	11655	66481
179	11676	66165
180	11697	65854
181	11738	65659
182	11767	65394
183	11806	65193
184	11828	64899
185	11892	64831
186	12007	65048
187	12142	65361
188	12234	65444
189	12294	65356
190	12313	65048
191	12332	64743
192	12350	64440
193	12372	64156
194	12392	63871
195	12413	63586
196	12477	63525
197	12503	63276
198	12527	63014
199	12550	62751
200	12614	62696
201	12653	62517
202	12720	62472
203	12742	62215
204	12806	62158
205	12867	62090
206	12914	61950
207	13044	62214
208	13088	62059
209	13182	62144
210	13238	62051
211	13323	62092
212	13423	62199
213	13579	62568
214	13687	62706
215	13746	62621
216	13779	62419
217	13843	62357
218	13906	62291
219	13944	62115
220	14020	62108
221	14042	61861
222	14073	61658
223	14105	61461
224	14168	61398
225	14200	61199
226	14223	60965
227	14245	60731
228	14275	60532
229	14298	60302
230	14350	60198
231	14400	60084
232	14489	60134
233	14524	59960
234	14592	59922
235	14666	59907
236	14709	59770
237	14757	59650
238	14800	59513
239	14939	59756
240	15034	59825
241	15101	59783
242	15120	59548
243	15150	59360
244	15172	59142
245	15200	58949
246	15226	58747
247	15319	58806
248	15355	58647
249	15378	58437
250	15413	58278
251	15586	58635
252	15678	58685
253	15723	58560
254	15809	58586
255	15889	58591
256	15966	58586
257	16004	58433
258	16111	58536
259	16236	58701
260	16335	58772
261	16543	59228
262	16665	59373
263	16723	59290
264	16792	59247
265	16846	59153
266	16928	59156
267	16967	59007
268	17066	59065
269	17138	59032
270	17216	59020
271	17297	59013
272	17393	59061
273	17468	59034
274	17554	59045
275	17680	59192
276	18011	60017
277	18127	60120
278	18169	59977
279	18196	59787
280	18240	59653
281	18273	59485
282	18307	59320
283	18371	59254
284	18444	59216
285	18516	59175
286	18558	59036
287	18661	59094
288	18723	59021
289	18783	58940
290	18838	58847
291	18925	58850
292	19049	58968
293	19135	58967
294	19185	58857
295	19353	59105
296	19557	59461
297	19644	59462
298	19705	59380
299	19774	59324
300	19835	59244
301	19861	59059
302	19884	58864
303	19942	58776
304	20004	58701
305	20039	58547
306	20082	58415
307	20112	58248
308	20134	58056
309	20171	57910
310	20203	57750
311	20243	57615
312	20283	57480
313	20302	57285
314	20327	57110
315	20356	56946
316	20378	56763
317	20400	56581
318	20474	56546
319	20517	56422
320	20667	56595
321	20769	56631
322	20865	56654
