,CARD_SIDO_NM,confirmed,year,month
188,부산,0,2020,1
681,부산,80,2020,2
1208,부산,39,2020,3
1718,부산,18,2020,4
197,충북,0,2020,1
690,충북,10,2020,2
1217,충북,34,2020,3
1727,충북,1,2020,4
198,충남,0,2020,1
691,충남,55,2020,2
1218,충남,73,2020,3
1728,충남,15,2020,4
189,대구,0,2020,1
682,대구,2236,2020,2
1209,대구,4448,2020,3
1719,대구,168,2020,4
192,대전,0,2020,1
685,대전,13,2020,2
1212,대전,23,2020,3
1722,대전,4,2020,4
196,강원,0,2020,1
689,강원,7,2020,2
1216,강원,29,2020,3
1726,강원,17,2020,4
191,광주,0,2020,1
684,광주,9,2020,2
1211,광주,11,2020,3
1721,광주,10,2020,4
195,경기,5,2020,1
688,경기,77,2020,2
1215,경기,394,2020,3
1725,경기,200,2020,4
201,경북,0,2020,1
694,경북,488,2020,2
1221,경북,812,2020,3
1731,경북,65,2020,4
202,경남,0,2020,1
695,경남,59,2020,2
1222,경남,37,2020,3
1732,경남,21,2020,4
190,인천,1,2020,1
683,인천,5,2020,2
1210,인천,58,2020,3
1720,인천,29,2020,4
203,제주,0,2020,1
696,제주,2,2020,2
1223,제주,7,2020,3
1733,제주,4,2020,4
199,전북,1,2020,1
692,전북,4,2020,2
1219,전북,8,2020,3
1729,전북,5,2020,4
200,전남,0,2020,1
693,전남,3,2020,2
1220,전남,6,2020,3
1730,전남,6,2020,4
194,세종,0,2020,1
687,세종,1,2020,2
1214,세종,45,2020,3
1724,세종,0,2020,4
187,서울,4,2020,1
680,서울,73,2020,2
1207,서울,373,2020,3
1717,서울,183,2020,4
193,울산,0,2020,1
686,울산,17,2020,2
1213,울산,39,2020,3
1723,울산,43,2020,4
