,CARD_SIDO_NM,avg_temp,precipitation,avg_relative_humidity,year,month
17535,서울,-5.0,0.0,49.5,2019,01
17536,부산,1.0,0.0,41.9,2019,01
17537,대구,-0.6,0.0,49.3,2019,01
17538,광주,0.0,0.0,65.3,2019,01
17539,인천,-4.4,0.0,57.6,2019,01
17540,대전,-2.7,0.0,69.8,2019,01
17541,울산,0.1,0.0,45.1,2019,01
17542,경기,-4.4,0.0,64.8,2019,01
17543,강원,-0.7,0.0,26.3,2019,01
17544,충북,-4.2,0.0,60.3,2019,01
17545,충남,-1.8,0.0,65.5,2019,01
17546,전북,-1.1,0.0,77.4,2019,01
17547,전남,1.6,0.0,56.1,2019,01
17548,경북,-1.3,0.0,42.1,2019,01
17549,경남,0.0,0.0,47.1,2019,01
17550,제주,5.6,0.0,61.1,2019,01
17551,서울,-4.9,0.0,42.8,2019,01
17552,부산,1.2,0.0,34.6,2019,01
17553,대구,-0.5,0.0,39.3,2019,01
17554,광주,-0.1,0.0,62.4,2019,01
17555,인천,-3.9,0.0,48.8,2019,01
17556,대전,-3.3,0.0,64.1,2019,01
17557,울산,0.5,0.0,32.8,2019,01
17558,경기,-5.3,0.0,61.1,2019,01
17559,강원,0.0,0.0,21.0,2019,01
17560,충북,-6.6,0.0,57.9,2019,01
17561,충남,-4.7,0.0,72.0,2019,01
17562,전북,-1.6,0.0,71.6,2019,01
17563,전남,1.1,0.0,53.6,2019,01
17564,경북,-1.2,0.0,34.3,2019,01
17565,경남,-0.5,0.0,43.9,2019,01
17566,제주,5.1,0.0,60.9,2019,01
17567,서울,-3.5,0.0,38.8,2019,01
17568,부산,3.0,0.0,22.0,2019,01
17569,대구,0.0,0.0,30.1,2019,01
17570,광주,0.5,0.0,53.0,2019,01
17571,인천,-2.6,0.0,45.6,2019,01
17572,대전,-2.7,0.0,55.8,2019,01
17573,울산,1.4,0.0,23.5,2019,01
17574,경기,-3.7,0.0,52.3,2019,01
17575,강원,1.2,0.0,19.8,2019,01
17576,충북,-6.5,0.0,54.9,2019,01
17577,충남,-4.1,0.0,68.0,2019,01
17578,전북,-1.6,0.0,67.0,2019,01
17579,전남,2.2,0.0,46.4,2019,01
17580,경북,0.4,0.0,24.9,2019,01
17581,경남,0.6,0.0,29.3,2019,01
17582,제주,5.1,0.0,60.1,2019,01
17583,서울,-1.1,0.0,55.5,2019,01
17584,부산,5.0,0.0,22.3,2019,01
17585,대구,0.9,0.0,38.0,2019,01
17586,광주,0.7,0.0,56.4,2019,01
17587,인천,-0.3,0.0,67.6,2019,01
17588,대전,-1.6,0.0,61.8,2019,01
17589,울산,4.3,0.0,22.3,2019,01
17590,경기,-2.3,0.0,73.9,2019,01
17591,강원,3.8,0.0,24.8,2019,01
17592,충북,-4.1,0.0,58.3,2019,01
17593,충남,-2.8,0.0,79.8,2019,01
17594,전북,-0.9,0.0,62.6,2019,01
17595,전남,3.1,0.0,50.0,2019,01
17596,경북,2.9,0.0,25.3,2019,01
17597,경남,2.4,0.0,26.4,2019,01
17598,제주,5.8,0.0,77.5,2019,01
17599,서울,-2.8,0.0,40.3,2019,01
17600,부산,5.5,0.0,31.8,2019,01
17601,대구,2.4,0.0,38.3,2019,01
17602,광주,2.0,0.0,54.4,2019,01
17603,인천,-2.8,0.0,43.4,2019,01
17604,대전,-0.7,0.0,52.8,2019,01
17605,울산,4.3,0.0,33.6,2019,01
17606,경기,-2.4,0.0,45.0,2019,01
17607,강원,1.9,0.0,37.3,2019,01
17608,충북,-2.8,0.0,52.1,2019,01
17609,충남,-2.2,0.0,57.0,2019,01
17610,전북,0.4,0.0,54.0,2019,01
17611,전남,5.1,0.0,44.9,2019,01
17612,경북,2.2,0.0,43.1,2019,01
17613,경남,3.2,0.0,38.1,2019,01
17614,제주,7.0,0.0,66.8,2019,01
17615,서울,-2.8,0.0,35.0,2019,01
17616,부산,4.4,0.0,30.5,2019,01
17617,대구,0.6,0.0,29.9,2019,01
17618,광주,0.6,0.0,44.3,2019,01
17619,인천,-2.7,0.0,46.4,2019,01
17620,대전,-1.9,0.0,52.5,2019,01
17621,울산,3.1,0.0,28.3,2019,01
17622,경기,-3.5,0.0,53.9,2019,01
17623,강원,1.9,0.0,38.5,2019,01
17624,충북,-4.9,0.0,51.8,2019,01
17625,충남,-3.5,0.0,66.0,2019,01
17626,전북,-1.4,0.0,57.6,2019,01
17627,전남,3.8,0.0,32.0,2019,01
17628,경북,1.8,0.0,29.1,2019,01
17629,경남,2.0,0.0,21.8,2019,01
17630,제주,5.7,0.0,64.4,2019,01
17631,서울,-1.9,0.0,46.4,2019,01
17632,부산,4.4,0.0,22.8,2019,01
17633,대구,1.2,0.0,38.3,2019,01
17634,광주,1.2,0.0,64.1,2019,01
17635,인천,-1.3,0.0,59.4,2019,01
17636,대전,-1.2,0.0,66.6,2019,01
17637,울산,2.9,0.0,27.4,2019,01
17638,경기,-2.6,0.0,73.5,2019,01
17639,강원,2.6,0.0,22.1,2019,01
17640,충북,-4.4,0.0,62.8,2019,01
17641,충남,-2.3,0.0,76.5,2019,01
17642,전북,-0.4,0.0,69.9,2019,01
17643,전남,3.9,0.0,40.6,2019,01
17644,경북,1.9,0.0,29.5,2019,01
17645,경남,2.0,0.0,31.5,2019,01
17646,제주,5.9,0.0,65.5,2019,01
17647,서울,-3.5,0.0,31.0,2019,01
17648,부산,3.2,0.0,35.5,2019,01
17649,대구,1.2,0.0,38.0,2019,01
17650,광주,0.8,0.0,60.6,2019,01
17651,인천,-2.9,0.0,40.8,2019,01
17652,대전,-1.5,0.0,54.1,2019,01
17653,울산,2.5,0.0,31.3,2019,01
17654,경기,-2.8,0.0,43.1,2019,01
17655,강원,0.9,0.0,21.0,2019,01
17656,충북,-4.1,0.0,50.9,2019,01
17657,충남,-2.9,0.0,58.1,2019,01
17658,전북,-0.3,0.0,62.1,2019,01
17659,전남,2.8,0.0,47.3,2019,01
17660,경북,0.5,0.0,31.6,2019,01
17661,경남,1.7,0.0,40.8,2019,01
17662,제주,6.6,0.0,62.5,2019,01
17663,서울,-4.7,0.0,28.8,2019,01
17664,부산,2.3,0.0,36.8,2019,01
17665,대구,-1.3,0.0,33.6,2019,01
17666,광주,-0.9,0.0,33.1,2019,01
17667,인천,-4.6,0.0,37.0,2019,01
17668,대전,-3.4,0.0,41.9,2019,01
17669,울산,0.4,0.0,39.6,2019,01
17670,경기,-4.6,0.0,39.3,2019,01
17671,강원,0.1,0.0,20.4,2019,01
17672,충북,-6.7,0.0,48.3,2019,01
17673,충남,-4.3,0.0,44.9,2019,01
17674,전북,-2.6,0.0,41.9,2019,01
17675,전남,1.0,0.0,46.1,2019,01
17676,경북,-0.3,0.0,31.8,2019,01
17677,경남,-0.6,0.0,37.6,2019,01
17678,제주,4.5,0.0,55.5,2019,01
17679,서울,-0.6,0.0,48.8,2019,01
17680,부산,4.8,0.0,35.1,2019,01
17681,대구,1.7,0.0,41.5,2019,01
17682,광주,2.0,0.0,57.0,2019,01
17683,인천,-0.9,0.0,59.3,2019,01
17684,대전,-1.1,0.0,58.3,2019,01
17685,울산,3.6,0.0,37.9,2019,01
17686,경기,-1.2,0.0,59.1,2019,01
17687,강원,4.4,0.0,18.9,2019,01
17688,충북,-2.4,0.0,56.4,2019,01
17689,충남,-2.1,0.0,77.4,2019,01
17690,전북,0.2,0.0,62.1,2019,01
17691,전남,4.4,0.0,42.1,2019,01
17692,경북,2.8,0.0,28.0,2019,01
17693,경남,2.4,0.0,42.3,2019,01
17694,제주,6.9,0.0,65.1,2019,01
17695,서울,2.4,0.0,58.8,2019,01
17696,부산,6.2,0.0,54.9,2019,01
17697,대구,3.0,0.0,54.6,2019,01
17698,광주,4.2,0.0,61.0,2019,01
17699,인천,2.2,0.0,71.8,2019,01
17700,대전,2.8,0.0,63.5,2019,01
17701,울산,4.7,0.0,60.6,2019,01
17702,경기,2.2,0.0,70.1,2019,01
17703,강원,3.1,0.0,49.1,2019,01
17704,충북,0.8,0.0,63.3,2019,01
17705,충남,2.2,0.0,72.8,2019,01
17706,전북,3.2,0.0,69.5,2019,01
17707,전남,4.9,0.0,57.4,2019,01
17708,경북,3.8,0.0,58.8,2019,01
17709,경남,3.6,0.0,56.6,2019,01
17710,제주,7.9,0.0,70.9,2019,01
17711,서울,2.8,0.0,47.6,2019,01
17712,부산,6.2,0.0,78.8,2019,01
17713,대구,3.1,0.0,88.1,2019,01
17714,광주,4.6,0.0,77.6,2019,01
17715,인천,2.2,0.0,61.6,2019,01
17716,대전,4.5,0.0,69.8,2019,01
17717,울산,4.8,0.0,96.0,2019,01
17718,경기,2.4,0.0,64.6,2019,01
17719,강원,3.3,0.0,73.3,2019,01
17720,충북,1.8,0.0,61.8,2019,01
17721,충남,2.3,0.0,72.8,2019,01
17722,전북,3.9,0.0,87.6,2019,01
17723,전남,6.3,0.0,75.5,2019,01
17724,경북,4.2,0.0,91.9,2019,01
17725,경남,4.1,0.0,83.8,2019,01
17726,제주,8.9,0.0,72.8,2019,01
17727,서울,1.2,0.0,54.3,2019,01
17728,부산,6.8,0.0,56.1,2019,01
17729,대구,1.8,0.0,79.1,2019,01
17730,광주,3.3,0.0,66.1,2019,01
17731,인천,1.3,0.0,66.9,2019,01
17732,대전,1.8,0.0,66.6,2019,01
17733,울산,5.2,0.0,65.3,2019,01
17734,경기,0.2,0.0,77.9,2019,01
17735,강원,3.7,0.0,58.1,2019,01
17736,충북,-1.6,0.0,70.9,2019,01
17737,충남,-0.4,0.0,77.9,2019,01
17738,전북,2.3,0.0,80.3,2019,01
17739,전남,5.6,0.0,62.5,2019,01
17740,경북,3.2,0.0,79.5,2019,01
17741,경남,4.6,0.0,59.0,2019,01
17742,제주,7.9,0.0,65.6,2019,01
17743,서울,1.4,0.0,68.6,2019,01
17744,부산,7.3,0.0,43.8,2019,01
17745,대구,2.0,0.0,63.0,2019,01
17746,광주,2.3,0.0,71.8,2019,01
17747,인천,1.7,0.0,80.6,2019,01
17748,대전,1.7,0.0,72.5,2019,01
17749,울산,6.0,0.0,49.6,2019,01
17750,경기,0.0,0.0,87.3,2019,01
17751,강원,5.5,0.0,37.6,2019,01
17752,충북,-2.7,0.0,77.3,2019,01
17753,충남,0.3,0.0,80.0,2019,01
17754,전북,1.3,0.0,81.6,2019,01
17755,전남,4.9,0.0,59.0,2019,01
17756,경북,3.7,0.0,52.4,2019,01
17757,경남,4.0,0.0,49.9,2019,01
17758,제주,7.3,0.0,66.1,2019,01
17759,서울,-1.7,0.0,58.8,2019,01
17760,부산,5.6,0.0,42.3,2019,01
17761,대구,2.6,0.0,51.8,2019,01
17762,광주,2.0,0.0,70.8,2019,01
17763,인천,-1.9,0.0,67.1,2019,01
17764,대전,-0.1,0.0,72.5,2019,01
17765,울산,4.5,0.0,47.1,2019,01
17766,경기,-1.1,0.0,63.5,2019,01
17767,강원,2.6,0.0,38.1,2019,01
17768,충북,-1.4,0.0,65.9,2019,01
17769,충남,-0.9,0.0,72.0,2019,01
17770,전북,0.8,0.0,77.5,2019,01
17771,전남,4.3,0.0,56.9,2019,01
17772,경북,2.7,0.0,51.0,2019,01
17773,경남,3.9,0.0,46.3,2019,01
17774,제주,7.0,0.0,61.0,2019,01
17775,서울,-5.2,0.0,45.9,2019,01
17776,부산,0.0,0.0,28.9,2019,01
17777,대구,-1.9,0.0,34.9,2019,01
17778,광주,-2.1,0.0,50.9,2019,01
17779,인천,-4.9,0.0,51.4,2019,01
17780,대전,-3.8,0.0,56.8,2019,01
17781,울산,-0.8,0.0,31.1,2019,01
17782,경기,-4.5,0.0,49.5,2019,01
17783,강원,-1.6,0.0,28.1,2019,01
17784,충북,-5.8,0.0,51.0,2019,01
17785,충남,-3.7,0.0,61.4,2019,01
17786,전북,-2.9,0.0,57.5,2019,01
17787,전남,-0.5,0.0,37.6,2019,01
17788,경북,-2.1,0.0,35.3,2019,01
17789,경남,-1.6,0.0,31.6,2019,01
17790,제주,3.1,0.0,63.5,2019,01
17791,서울,-0.3,0.0,45.8,2019,01
17792,부산,2.4,0.0,43.5,2019,01
17793,대구,1.5,0.0,47.0,2019,01
17794,광주,1.1,0.0,64.4,2019,01
17795,인천,0.6,0.0,47.9,2019,01
17796,대전,0.0,0.0,72.9,2019,01
17797,울산,2.4,0.0,45.3,2019,01
17798,경기,-0.4,0.0,60.8,2019,01
17799,강원,2.7,0.0,32.5,2019,01
17800,충북,-1.4,0.0,50.8,2019,01
17801,충남,0.6,0.0,61.4,2019,01
17802,전북,0.3,0.0,78.4,2019,01
17803,전남,2.6,0.0,52.8,2019,01
17804,경북,1.8,0.0,43.8,2019,01
17805,경남,1.3,0.0,47.1,2019,01
17806,제주,5.6,0.0,56.4,2019,01
17807,서울,0.6,0.0,44.0,2019,01
17808,부산,5.5,0.0,30.4,2019,01
17809,대구,2.5,0.0,45.6,2019,01
17810,광주,2.4,0.0,70.5,2019,01
17811,인천,1.3,0.0,52.3,2019,01
17812,대전,0.8,0.0,70.8,2019,01
17813,울산,4.5,0.0,33.9,2019,01
17814,경기,-0.4,0.0,66.6,2019,01
17815,강원,4.4,0.0,24.0,2019,01
17816,충북,-2.3,0.0,57.3,2019,01
17817,충남,-0.6,0.0,77.6,2019,01
17818,전북,1.5,0.0,73.9,2019,01
17819,전남,4.3,0.0,50.4,2019,01
17820,경북,3.6,0.0,30.5,2019,01
17821,경남,3.0,0.0,41.9,2019,01
17822,제주,6.4,0.0,63.4,2019,01
17823,서울,3.6,0.0,59.8,2019,01
17824,부산,7.5,0.0,49.1,2019,01
17825,대구,4.5,0.0,46.1,2019,01
17826,광주,3.6,0.0,71.3,2019,01
17827,인천,3.8,0.0,72.0,2019,01
17828,대전,3.2,0.0,66.6,2019,01
17829,울산,7.3,0.0,44.3,2019,01
