"","축제명","year","start_mon","end_mon","CARD_SIDO_NM","CARD_CCG_NM","위도","경도"
"1","희망달서 큰잔치",2020,10,10,"대구","달서구",35.8507464815,128.5616533709
"2","순창장류축제",2020,10,10,"전북","순창군",35.3686002131,127.1099773076
"3","2020년 제16회 해운대모래축제",2020,5,5,"부산","해운대구",35.15793348,129.1724709
"4","제7회 해운대 빛축제",2020,11,1,"부산","해운대구",35.15793348,129.1724709
"5","우장산 신록축제",2020,5,5,"서울","강서구",37.56759867,126.8537291
"6","허준축제",2020,10,10,"서울","강서구",37.56759867,126.8537291
"7","제53회 황토현동학농민혁명기념제",2020,5,5,"전북","정읍시",35.55427272,127.0188952
"8","제31회 정읍사문화제",2020,9,9,"전북","정읍시",35.55427272,127.0188952
"9","제14회 정읍 평생학습축제 및 제6회 주민자치 프로그램 발표회",2020,10,10,"전북","정읍시",35.55427272,127.0188952
"10","제15회 정읍 구절초꽃축제",2020,9,10,"전북","정읍시",35.55427272,127.0188952
"11","섬강축제",2020,10,10,"강원","원주시",37.336428,127.9462616
"12","원주 용수골꽃양귀비축제",2020,5,5,"강원","원주시",37.336428,127.9462616
"13","원주 다이내믹댄싱카니발",2020,9,9,"강원","원주시",37.336428,127.9462616
"14","원주 한지문화제",2020,9,9,"강원","원주시",37.336428,127.9462616
"15","제24회 무안연꽃추제",2020,7,7,"전남","무안군",34.86008849,126.5298962
"16","제8회 무안황토갯벌축제",2020,6,6,"전남","무안군",34.86008849,126.5298962
"17","울산고래축제",2020,6,6,"울산","남구",35.5043992791,129.3872929992
"18","2020 선암호수가요제",2020,9,9,"울산","남구",35.5043992791,129.3872929992
"19","부안마실축제",2020,9,9,"전북","부안군",35.71882124,126.7286953
"20","곰소젓갈발효축제",2020,9,9,"전북","부안군",35.71882124,126.7286953
"21","제27회 대덕제 대구앞산축제",2020,4,4,"대구","남구",35.840562,128.606693
"22","제14회 신천돗자리음악회",2020,7,7,"대구","남구",35.840562,128.606693
"23","K-POP광장 야외시네마",2019,4,10,"서울","강남구",37.51182328,127.0591597
"24","내 집 앞 세계영화제",2019,3,10,"서울","강남구",37.51182328,127.0591597
"25","K-POP 뮤직페스티벌",2019,5,10,"서울","강남구",37.51182328,127.0591597
"26","2019 강남페스티벌 패션쇼",2019,9,9,"서울","강남구",37.51182328,127.0591597
"27","2019 강남페스티벌",2019,9,10,"서울","강남구",37.51182328,127.0591597
"28","C-festival 2019",2019,5,5,"서울","강남구",37.51182328,127.0591597
"29","롤링나이트 2019",2019,6,6,"서울","강남구",37.51182328,127.0591597
"30","365일 펀앤판 강남",2019,4,11,"서울","강남구",37.51182328,127.0591597
"31","개항제례",2018,5,5,"경남","창원시",35.2079322335,128.6792734965
"32","창원진동불꽃낙화축제",2018,4,4,"경남","창원시",35.2079322335,128.6792734965
"33","야철제",2018,6,6,"경남","창원시",35.2079322335,128.6792734965
"34","마산만날제",2018,9,9,"경남","창원시",35.2079322335,128.6792734965
"35","남산상봉제",2018,9,9,"경남","창원시",35.2079322335,128.6792734965
"36","소요단풍문화제",2020,10,11,"경기","동두천시",37.90083977,127.0704987
"37","동두천락페스티벌",2020,8,8,"경기","동두천시",37.90083977,127.0704987
"38","제38회 해운대달맞이온천축제",2020,2,2,"부산","해운대구",35.15793348,129.1724709
"39","정월대보름 달맞이 행사",2020,2,2,"경기","동두천시",37.90083977,127.0704987
"40","왕방산 국제MTB대회",2019,10,10,"경기","동두천시",37.90083977,127.0704987
"41","2019 제4회 이담농악두드림대축제",2019,6,6,"경기","동두천시",37.90083977,127.0704987
"42","제4회 동두천 국제 트레일러닝 대회",2019,4,4,"경기","동두천시",37.90083977,127.0704987
"43","상패남산축제",2018,9,9,"경기","동두천시",37.90083977,127.0704987
"44","천사마라톤대회",2018,10,10,"경기","동두천시",37.90083977,127.0704987
"45","동두천 청소년 별자리과학 축제",2018,10,10,"경기","동두천시",37.90083977,127.0704987
"46","동두천시 자원봉사 축제",2018,10,10,"경기","동두천시",37.90083977,127.0704987
"47","DDC할로윈클럽데이",2018,10,10,"경기","동두천시",37.90083977,127.0704987
"48","2020 대한민국 국향대전",2020,10,11,"전남","함평군",35.05618964,126.5199487
"49","제13회 마포나루 새우젓축제",2020,10,10,"서울","마포구",37.5635262478,126.8984363299
"50","제11회서면우리문화축제",2020,10,10,"부산","부산진구",35.1570356,129.0630291
"51","제10회 부산진구 북페스티벌",2020,9,9,"부산","부산진구",35.1570356,129.0630291
"52","서면메디컬스트리트 축제",2020,10,10,"부산","부산진구",35.1570356,129.0630291
"53","전포카페거리축제",2020,10,10,"부산","부산진구",35.1570356,129.0630291
"54","해맞이축제",2020,1,1,"서울","강서구",37.56759867,126.8537291
"55","개화산 봄꽃축제",2020,4,4,"서울","강서구",37.56759867,126.8537291
"56","제28회 영도다리축제",2020,10,10,"부산","영도구",35.05597301,129.0897518
"57","응봉산 해맞이축제",2020,1,1,"서울","성동구",37.548551,127.030821
"58","감자옥수수 축제",2020,7,7,"충북","옥천군",36.3807108158,127.6893425214
"59","지용제",2020,10,10,"충북","옥천군",36.3807108158,127.6893425214
"60","대둔산철쭉제",2019,4,5,"충남","논산시",36.14380913,127.3048094
"61","연산백중놀이",2020,9,9,"충남","논산시",36.14380913,127.3048094
"62","상월고구마축제",2020,9,9,"충남","논산시",36.14380913,127.3048094
"63","양촌곶감축제",2019,12,12,"충남","논산시",36.14380913,127.3048094
"64","보성차밭 빛축제",2020,12,1,"전남","보성군",34.84476516,127.3464624
"65","벌교꼬막축제",2019,10,11,"전남","보성군",34.84476516,127.3464624
"66","보성차밭 빛축제",2020,12,1,"전남","보성군",34.84476516,127.3464624
"67","벌교꼬막축제",2019,10,11,"전남","보성군",34.84476516,127.3464624
"68","보성전어축제",2019,8,8,"전남","보성군",34.84476516,127.3464624
"69","음성품바축제",2020,8,8,"충북","음성군",36.9327893833,127.6910182036
"70","설성문화제",2020,10,10,"충북","음성군",36.9327893833,127.6910182036
"71","음성명작페스티벌",2020,9,9,"충북","음성군",36.9327893833,127.6910182036
"72","음성들깨축제",2020,9,9,"충북","음성군",36.9327893833,127.6910182036
"73","계양산국악제",2020,9,9,"인천","계양구",37.54504438,126.7289968
"74","제32회 시민의 날 문화행사",2020,9,9,"경기","오산시",37.16022346,127.077061
"75","제10회 오산 독산성 문화제",2020,10,10,"경기","오산시",37.16022346,127.077061
"76","2020  제14회 종합예술제",2020,10,12,"경기","오산시",37.16022346,127.077061
"77","2020 오산 통기타 페스티벌",2020,9,9,"경기","오산시",37.16022346,127.077061
"78","제21회 청양고추.구기자축제",2020,9,9,"충남","청양군",36.446571,126.804563
"79","진해군항제",2018,4,4,"경남","창원시",35.2079322335,128.6792734965
"80","진해군악의장페스티벌",2018,4,4,"경남","창원시",35.2079322335,128.6792734965
"81","마산가고파국화축제",2018,10,11,"경남","창원시",35.2079322335,128.6792734965
"82","제56회 수원화성문화제",2019,10,10,"경기","수원시",37.28754,127.018085
"83","2019 수원등불축제",2019,10,10,"경기","수원시",37.28754,127.018085
"84","2017 음식 문화축제",2017,9,9,"경기","수원시",37.28754,127.018085
"85","2018 음식 문화축제",2018,10,10,"경기","수원시",37.28754,127.018085
"86","2019 음식 문화축제",2019,10,10,"경기","수원시",37.28754,127.018085
"87","속리산 신화여행축제",2020,7,8,"충북","보은군",36.53271475,127.8247988
"88","보은대추축제",2020,10,10,"충북","보은군",36.53271475,127.8247988
"89","정서진 해넘이 축제",2020,12,12,"인천","서구",37.55843765,126.6074637
