,CARD_SIDO_NM,STD_CLSS_NM,Maechul
0,서울,자동차 임대업,2871971
1,서울,스포츠 및 레크레이션 용품 임대업,16334
2,서울,여행사업,2522901
3,서울,전시 및 행사 대행업,1436160
4,서울,골프장 운영업,11388
5,서울,그외 기타 스포츠시설 운영업,37864
6,서울,기타 수상오락 서비스업,1205
7,서울,그외 기타 분류안된 오락관련 서비스업,111564
8,서울,욕탕업,280547
9,서울,마사지업,128873
10,부산,자동차 임대업,243889
11,부산,스포츠 및 레크레이션 용품 임대업,10748
12,부산,여행사업,209150
13,부산,전시 및 행사 대행업,128630
14,부산,골프장 운영업,80670
15,부산,그외 기타 스포츠시설 운영업,25150
16,부산,기타 수상오락 서비스업,1179
17,부산,그외 기타 분류안된 오락관련 서비스업,6078
18,부산,욕탕업,170568
19,부산,마사지업,30496
20,대구,자동차 임대업,210540
21,대구,스포츠 및 레크레이션 용품 임대업,2461
22,대구,여행사업,78958
23,대구,전시 및 행사 대행업,76330
24,대구,골프장 운영업,7515
25,대구,그외 기타 스포츠시설 운영업,15476
26,대구,기타 수상오락 서비스업,679
27,대구,그외 기타 분류안된 오락관련 서비스업,13797
28,대구,욕탕업,116433
29,대구,마사지업,16341
30,인천,자동차 임대업,126685
31,인천,스포츠 및 레크레이션 용품 임대업,5567
32,인천,여행사업,60635
33,인천,전시 및 행사 대행업,21789
34,인천,골프장 운영업,129480
35,인천,그외 기타 스포츠시설 운영업,12442
36,인천,기타 수상오락 서비스업,4017
37,인천,그외 기타 분류안된 오락관련 서비스업,10310
38,인천,욕탕업,56878
39,인천,마사지업,26622
40,광주,자동차 임대업,57113
41,광주,스포츠 및 레크레이션 용품 임대업,2366
42,광주,여행사업,42688
43,광주,전시 및 행사 대행업,40886
44,광주,골프장 운영업,17846
45,광주,그외 기타 스포츠시설 운영업,5980
46,광주,기타 수상오락 서비스업,...
47,광주,그외 기타 분류안된 오락관련 서비스업,5331
48,광주,욕탕업,38776
49,광주,마사지업,16311
50,대전,자동차 임대업,89871
51,대전,스포츠 및 레크레이션 용품 임대업,1579
52,대전,여행사업,40245
53,대전,전시 및 행사 대행업,40123
54,대전,골프장 운영업,16716
55,대전,그외 기타 스포츠시설 운영업,5667
56,대전,기타 수상오락 서비스업,259
57,대전,그외 기타 분류안된 오락관련 서비스업,2958
58,대전,욕탕업,36230
59,대전,마사지업,12529
60,울산,자동차 임대업,53206
61,울산,스포츠 및 레크레이션 용품 임대업,4370
62,울산,여행사업,19530
63,울산,전시 및 행사 대행업,12190
64,울산,골프장 운영업,41475
65,울산,그외 기타 스포츠시설 운영업,3633
66,울산,기타 수상오락 서비스업,...
67,울산,그외 기타 분류안된 오락관련 서비스업,4097
68,울산,욕탕업,50840
69,울산,마사지업,16218
70,세종,자동차 임대업,5996
71,세종,스포츠 및 레크레이션 용품 임대업,374
72,세종,여행사업,2910
73,세종,전시 및 행사 대행업,1295
74,세종,골프장 운영업,...
75,세종,그외 기타 스포츠시설 운영업,330
76,세종,기타 수상오락 서비스업,-
77,세종,그외 기타 분류안된 오락관련 서비스업,735
78,세종,욕탕업,2828
79,세종,마사지업,1086
80,경기,자동차 임대업,773845
81,경기,스포츠 및 레크레이션 용품 임대업,36977
82,경기,여행사업,244800
83,경기,전시 및 행사 대행업,234397
84,경기,골프장 운영업,1646278
85,경기,그외 기타 스포츠시설 운영업,73143
86,경기,기타 수상오락 서비스업,11304
87,경기,그외 기타 분류안된 오락관련 서비스업,97885
88,경기,욕탕업,305229
89,경기,마사지업,121745
90,강원,자동차 임대업,68169
91,강원,스포츠 및 레크레이션 용품 임대업,19642
92,강원,여행사업,43683
93,강원,전시 및 행사 대행업,28601
94,강원,골프장 운영업,236369
95,강원,그외 기타 스포츠시설 운영업,7415
96,강원,기타 수상오락 서비스업,11901
97,강원,그외 기타 분류안된 오락관련 서비스업,24371
98,강원,욕탕업,50200
99,강원,마사지업,15253
100,충북,자동차 임대업,57278
101,충북,스포츠 및 레크레이션 용품 임대업,2913
102,충북,여행사업,30297
103,충북,전시 및 행사 대행업,22360
104,충북,골프장 운영업,255635
105,충북,그외 기타 스포츠시설 운영업,11671
106,충북,기타 수상오락 서비스업,1576
107,충북,그외 기타 분류안된 오락관련 서비스업,11912
108,충북,욕탕업,29711
109,충북,마사지업,12824
110,충남,자동차 임대업,83733
111,충남,스포츠 및 레크레이션 용품 임대업,1676
112,충남,여행사업,52074
113,충남,전시 및 행사 대행업,42238
114,충남,골프장 운영업,138375
115,충남,그외 기타 스포츠시설 운영업,6482
116,충남,기타 수상오락 서비스업,1017
117,충남,그외 기타 분류안된 오락관련 서비스업,16178
118,충남,욕탕업,61347
119,충남,마사지업,18112
120,전북,자동차 임대업,87310
121,전북,스포츠 및 레크레이션 용품 임대업,5459
122,전북,여행사업,53810
123,전북,전시 및 행사 대행업,46630
124,전북,골프장 운영업,117636
125,전북,그외 기타 스포츠시설 운영업,10313
126,전북,기타 수상오락 서비스업,1004
127,전북,그외 기타 분류안된 오락관련 서비스업,17158
128,전북,욕탕업,57479
129,전북,마사지업,12023
130,전남,자동차 임대업,64983
131,전남,스포츠 및 레크레이션 용품 임대업,2515
132,전남,여행사업,31373
133,전남,전시 및 행사 대행업,16671
134,전남,골프장 운영업,343282
135,전남,그외 기타 스포츠시설 운영업,6116
136,전남,기타 수상오락 서비스업,1776
137,전남,그외 기타 분류안된 오락관련 서비스업,13038
