CARD_SIDO_NM,SEX_CTGO_CD,AGE,sex_age_population
서울,1,10s,"413,963"
부산,1,10s,"144,685"
대구,1,10s,"122,070"
인천,1,10s,"143,662"
광주,1,10s,"84,181"
대전,1,10s,"78,222"
울산,1,10s,"60,656"
세종,1,10s,"20,457"
경기,1,10s,"690,870"
강원,1,10s,"73,533"
충북,1,10s,"79,424"
충남,1,10s,"106,788"
전북,1,10s,"93,086"
전남,1,10s,"89,298"
경북,1,10s,"122,272"
경남,1,10s,"172,985"
제주,1,10s,"37,243"
서울,2,10s,"392,764"
부산,2,10s,"134,694"
대구,2,10s,"110,953"
인천,2,10s,"135,450"
광주,2,10s,"77,784"
대전,2,10s,"72,765"
울산,2,10s,"54,281"
세종,2,10s,"20,288"
경기,2,10s,"650,634"
강원,2,10s,"67,466"
충북,2,10s,"72,937"
충남,2,10s,"98,882"
전북,2,10s,"86,391"
전남,2,10s,"82,379"
경북,2,10s,"109,555"
경남,2,10s,"156,962"
제주,2,10s,"33,981"
서울,1,20s,"708,309"
부산,1,20s,"226,598"
대구,1,20s,"172,592"
인천,1,20s,"210,732"
광주,1,20s,"108,166"
대전,1,20s,"111,224"
울산,1,20s,"82,384"
세종,1,20s,"18,371"
경기,1,20s,"931,276"
강원,1,20s,"100,115"
충북,1,20s,"109,948"
충남,1,20s,"133,530"
전북,1,20s,"113,943"
전남,1,20s,"111,969"
경북,1,20s,"162,456"
경남,1,20s,"211,964"
제주,1,20s,"43,152"
서울,2,20s,"742,605"
부산,2,20s,"206,914"
대구,2,20s,"148,919"
인천,2,20s,"192,927"
광주,2,20s,"99,035"
대전,2,20s,"100,196"
울산,2,20s,"64,677"
세종,2,20s,"17,952"
경기,2,20s,"839,952"
강원,2,20s,"78,526"
충북,2,20s,"88,079"
충남,2,20s,"109,070"
전북,2,20s,"97,503"
전남,2,20s,"89,581"
경북,2,20s,"125,882"
경남,2,20s,"170,711"
제주,2,20s,"38,428"
서울,1,30s,"742,870"
부산,1,30s,"217,941"
대구,1,30s,"155,408"
인천,1,30s,"212,735"
광주,1,30s,"96,262"
대전,1,30s,"102,224"
울산,1,30s,"82,765"
세종,1,30s,"29,818"
경기,1,30s,"977,869"
강원,1,30s,"87,669"
충북,1,30s,"103,826"
충남,1,30s,"146,821"
전북,1,30s,"99,748"
전남,1,30s,"100,527"
경북,1,30s,"159,400"
경남,1,30s,"215,797"
제주,1,30s,"42,278"
서울,2,30s,"742,159"
부산,2,30s,"208,720"
대구,2,30s,"145,088"
인천,2,30s,"199,530"
광주,2,30s,"93,157"
대전,2,30s,"94,738"
울산,2,30s,"73,873"
세종,2,30s,"31,417"
경기,2,30s,"925,000"
강원,2,30s,"79,969"
충북,2,30s,"92,841"
충남,2,30s,"126,696"
전북,2,30s,"93,732"
전남,2,30s,"90,202"
경북,2,30s,"140,017"
경남,2,30s,"197,939"
제주,2,30s,"41,095"
서울,1,40s,"756,706"
부산,1,40s,"256,450"
대구,1,40s,"190,600"
인천,1,40s,"246,360"
광주,1,40s,"120,278"
대전,1,40s,"119,063"
울산,1,40s,"95,711"
세종,1,40s,"33,758"
경기,1,40s,"1,153,073"
강원,1,40s,"115,861"
충북,1,40s,"124,924"
충남,1,40s,"173,768"
전북,1,40s,"140,157"
전남,1,40s,"140,378"
경북,1,40s,"201,391"
경남,1,40s,"277,194"
제주,1,40s,"57,867"
서울,2,40s,"771,783"
부산,2,40s,"253,794"
대구,2,40s,"196,271"
인천,2,40s,"236,861"
광주,2,40s,"122,297"
대전,2,40s,"120,134"
울산,2,40s,"93,016"
세종,2,40s,"31,952"
경기,2,40s,"1,119,740"
강원,2,40s,"108,783"
충북,2,40s,"116,155"
충남,2,40s,"152,381"
전북,2,40s,"130,963"
전남,2,40s,"121,358"
경북,2,40s,"184,332"
경남,2,40s,"260,649"
제주,2,40s,"53,979"
서울,1,50s,"733,576"
부산,1,50s,"275,969"
대구,1,50s,"207,180"
인천,1,50s,"253,334"
광주,1,50s,"114,688"
대전,1,50s,"119,193"
울산,1,50s,"106,761"
세종,1,50s,"22,164"
경기,1,50s,"1,103,239"
강원,1,50s,"136,334"
충북,1,50s,"139,256"
충남,1,50s,"177,024"
전북,1,50s,"154,671"
전남,1,50s,"167,657"
경북,1,50s,"237,152"
경남,1,50s,"295,213"
제주,1,50s,"57,262"
서울,2,50s,"766,194"
부산,2,50s,"294,905"
대구,2,50s,"216,982"
인천,2,50s,"254,614"
광주,2,50s,"117,142"
대전,2,50s,"121,037"
울산,2,50s,"102,903"
세종,2,50s,"20,682"
경기,2,50s,"1,076,074"
강원,2,50s,"129,540"
충북,2,50s,"131,806"
충남,2,50s,"159,467"
전북,2,50s,"145,086"
전남,2,50s,"146,018"
경북,2,50s,"222,010"
경남,2,50s,"284,485"
제주,2,50s,"52,587"
서울,1,60s,"554,890"
부산,1,60s,"240,502"
대구,1,60s,"147,659"
인천,1,60s,"169,942"
광주,1,60s,"73,694"
대전,1,60s,"82,589"
울산,1,60s,"68,942"
세종,1,60s,"13,813"
경기,1,60s,"703,738"
강원,1,60s,"112,366"
충북,1,60s,"104,968"
충남,1,60s,"131,277"
전북,1,60s,"120,418"
전남,1,60s,"129,811"
경북,1,60s,"192,374"
경남,1,60s,"216,114"
제주,1,60s,"36,950"
서울,2,60s,"619,207"
부산,2,60s,"265,830"
대구,2,60s,"162,471"
인천,2,60s,"173,141"
광주,2,60s,"81,000"
대전,2,60s,"87,302"
울산,2,60s,"67,588"
세종,2,60s,"14,022"
경기,2,60s,"713,168"
강원,2,60s,"113,454"
충북,2,60s,"104,885"
충남,2,60s,"132,263"
전북,2,60s,"123,702"
전남,2,60s,"128,649"
경북,2,60s,"196,060"
경남,2,60s,"218,619"
제주,2,60s,"37,406"
서울,1,70s,"307,073"
부산,1,70s,"127,450"
대구,1,70s,"74,159"
인천,1,70s,"77,527"
광주,1,70s,"40,027"
대전,1,70s,"39,914"
울산,1,70s,"26,989"
세종,1,70s,"6,174"
경기,1,70s,"333,661"
강원,1,70s,"60,017"
충북,1,70s,"52,971"
충남,1,70s,"75,042"
전북,1,70s,"72,229"
전남,1,70s,"82,344"
경북,1,70s,"104,830"
경남,1,70s,"104,819"
제주,1,70s,"19,882"
서울,2,70s,"365,565"
부산,2,70s,"155,714"
대구,2,70s,"96,425"
인천,2,70s,"93,569"
광주,2,70s,"50,470"
대전,2,70s,"48,260"
울산,2,70s,"30,344"
세종,2,70s,"7,389"
경기,2,70s,"403,905"
강원,2,70s,"74,378"
충북,2,70s,"65,436"
충남,2,70s,"91,625"
전북,2,70s,"92,709"
전남,2,70s,"107,893"
경북,2,70s,"132,811"
경남,2,70s,"134,638"
제주,2,70s,"24,251"
