,CARD_SIDO_NM,STD_CLSS_NM,Maechul
0,서울,기타 대형 종합 소매업,11790872
1,서울,슈퍼마켓,6097608
2,서울,체인화 편의점,5628865
3,서울,기타 음·식료품 위주 종합 소매업,2212721
4,서울,그외 기타 종합 소매업,970747
5,서울,육류 소매업,1405284
6,서울,수산물 소매업,435467
7,서울,과실 및 채소 소매업,813708
8,서울,빵 및 과자류 소매업,128047
9,서울,건강보조식품 소매업,1014807
10,서울,차량용 주유소 운영업,3272574
11,서울,차량용 가스 충전업,731818
12,서울,화장품 및 방향제 소매업,4089513
13,서울,관광 민예품 및 선물용품 소매업,302493
14,서울,호텔업,3272315
15,서울,여관업,540779
16,서울,휴양콘도 운영업,-
17,서울,한식 음식점업,12567602
18,서울,중식 음식점업,1423145
19,서울,일식 음식점업,1460864
20,서울,서양식 음식점업,1880804
21,서울,기타 외국식 음식점업,363396
22,서울,피자  햄버거  샌드위치 및 유사 음식점업,1486905
23,서울,일반유흥 주점업,629281
24,서울,기타 주점업,2370077
25,서울,비알콜 음료점업,3086757
26,부산,기타 대형 종합 소매업,2641794
27,부산,슈퍼마켓,2270913
28,부산,체인화 편의점,1308340
29,부산,기타 음·식료품 위주 종합 소매업,559959
30,부산,그외 기타 종합 소매업,230906
31,부산,육류 소매업,448513
32,부산,수산물 소매업,261381
33,부산,과실 및 채소 소매업,237105
34,부산,빵 및 과자류 소매업,28474
35,부산,건강보조식품 소매업,107428
36,부산,차량용 주유소 운영업,2017598
37,부산,차량용 가스 충전업,367519
38,부산,화장품 및 방향제 소매업,653140
39,부산,관광 민예품 및 선물용품 소매업,21560
40,부산,호텔업,497565
41,부산,여관업,205346
42,부산,휴양콘도 운영업,29534
43,부산,한식 음식점업,3525173
44,부산,중식 음식점업,231807
45,부산,일식 음식점업,216028
46,부산,서양식 음식점업,287913
47,부산,기타 외국식 음식점업,40570
48,부산,피자  햄버거  샌드위치 및 유사 음식점업,393628
49,부산,일반유흥 주점업,285522
50,부산,기타 주점업,667421
51,부산,비알콜 음료점업,543273
52,대구,기타 대형 종합 소매업,1617429
53,대구,슈퍼마켓,1391667
54,대구,체인화 편의점,561929
55,대구,기타 음·식료품 위주 종합 소매업,439846
56,대구,그외 기타 종합 소매업,93612
57,대구,육류 소매업,411042
58,대구,수산물 소매업,79519
59,대구,과실 및 채소 소매업,152584
60,대구,빵 및 과자류 소매업,20234
61,대구,건강보조식품 소매업,70593
62,대구,차량용 주유소 운영업,1501123
63,대구,차량용 가스 충전업,247067
64,대구,화장품 및 방향제 소매업,447094
65,대구,관광 민예품 및 선물용품 소매업,20300
66,대구,호텔업,144523
67,대구,여관업,105737
68,대구,휴양콘도 운영업,-
69,대구,한식 음식점업,2061587
70,대구,중식 음식점업,165208
71,대구,일식 음식점업,117854
72,대구,서양식 음식점업,205786
73,대구,기타 외국식 음식점업,19865
74,대구,피자  햄버거  샌드위치 및 유사 음식점업,242153
75,대구,일반유흥 주점업,96000
76,대구,기타 주점업,474842
77,대구,비알콜 음료점업,345165
78,인천,기타 대형 종합 소매업,3495194
79,인천,슈퍼마켓,1677144
80,인천,체인화 편의점,1107657
81,인천,기타 음·식료품 위주 종합 소매업,641849
82,인천,그외 기타 종합 소매업,235356
83,인천,육류 소매업,466470
84,인천,수산물 소매업,223706
85,인천,과실 및 채소 소매업,125434
86,인천,빵 및 과자류 소매업,22674
87,인천,건강보조식품 소매업,78653
88,인천,차량용 주유소 운영업,2026196
89,인천,차량용 가스 충전업,304743
90,인천,화장품 및 방향제 소매업,390202
91,인천,관광 민예품 및 선물용품 소매업,55094
92,인천,호텔업,330541
93,인천,여관업,122063
94,인천,휴양콘도 운영업,7792
95,인천,한식 음식점업,2938994
96,인천,중식 음식점업,232446
97,인천,일식 음식점업,138841
98,인천,서양식 음식점업,170025
99,인천,기타 외국식 음식점업,28674
100,인천,피자  햄버거  샌드위치 및 유사 음식점업,276162
101,인천,일반유흥 주점업,108439
102,인천,기타 주점업,445643
103,인천,비알콜 음료점업,322928
104,광주,기타 대형 종합 소매업,811808
