year,month,CARD_SIDO_NM,STD_CLSS_NM,CSTMR_CNT,AMT,CNT,AGE_10s,AGE_20s,AGE_30s,AGE_40s,AGE_50s,AGE_60s,AGE_70s,SEX_CTGO_CD_1,SEX_CTGO_CD_2,FLC_1,FLC_2,FLC_3,FLC_4,FLC_5,거주민_False,거주민_True
2019,1,강원,건강보조식품 소매업,1080,148354746,1128,0.0,1.0,13.0,22.0,22.0,24.0,12.0,44.0,50.0,1.0,15.0,15.0,27.0,36.0,5.0,89.0
2019,1,강원,골프장 운영업,18489,1229200312,33379,8.0,391.0,484.0,686.0,411.0,128.0,24.0,1317.0,815.0,422.0,574.0,521.0,463.0,152.0,1937.0,195.0
2019,1,강원,과실 및 채소 소매업,23566,1286979106,31050,0.0,133.0,361.0,503.0,608.0,449.0,108.0,1140.0,1022.0,136.0,392.0,416.0,661.0,557.0,1670.0,492.0
2019,1,강원,관광 민예품 및 선물용품 소매업,1059,30656770,1254,0.0,57.0,29.0,57.0,81.0,26.0,4.0,128.0,126.0,56.0,32.0,53.0,83.0,30.0,197.0,57.0
2019,1,강원,그외 기타 스포츠시설 운영업,121,13101500,168,0.0,4.0,3.0,5.0,5.0,2.0,2.0,16.0,5.0,4.0,4.0,3.0,6.0,4.0,0.0,21.0
2019,1,강원,그외 기타 종합 소매업,6738,533330540,14938,0.0,10.0,20.0,27.0,28.0,20.0,5.0,63.0,47.0,11.0,20.0,18.0,36.0,25.0,14.0,96.0
2019,1,강원,기타 대형 종합 소매업,111070,8442324759,213017,15.0,739.0,858.0,828.0,591.0,301.0,71.0,1902.0,1501.0,749.0,944.0,615.0,723.0,372.0,2392.0,1011.0
2019,1,강원,기타 수상오락 서비스업,110,4224000,135,0.0,2.0,2.0,4.0,1.0,1.0,0.0,5.0,5.0,2.0,3.0,2.0,2.0,1.0,0.0,10.0
2019,1,강원,기타 외국식 음식점업,37759,1164632486,43862,5.0,410.0,217.0,247.0,211.0,118.0,32.0,889.0,351.0,413.0,246.0,161.0,270.0,150.0,660.0,580.0
2019,1,강원,기타 주점업,2304,326489689,3116,0.0,24.0,17.0,31.0,30.0,22.0,4.0,90.0,38.0,20.0,23.0,12.0,47.0,26.0,0.0,128.0
