,CARD_SIDO_NM,STD_CLSS_NM,total_sale_by_indst
0,강원,건강보조식품 소매업,33849.0
1,강원,골프장 운영업,236369.0
2,강원,과실 및 채소 소매업,115834.0
3,강원,관광 민예품 및 선물용품 소매업,12359.0
4,강원,그외 기타 분류안된 오락관련 서비스업,24371.0
5,강원,그외 기타 스포츠시설 운영업,7415.0
6,강원,그외 기타 종합 소매업,92888.0
7,강원,기타 대형 종합 소매업,681168.0
8,강원,기타 수상오락 서비스업,11901.0
9,강원,기타 외국식 음식점업,2664.0
10,강원,기타 주점업,221989.0
11,강원,기타음식료품위주종합소매업,391274.0
12,강원,내항 여객 운송업,18331.529411764783
13,강원,마사지업,15253.0
14,강원,면세점,35801907044.2555
15,강원,버스 운송업,499493.2941176471
16,강원,비알콜 음료점업,204492.0
17,강원,빵 및 과자류 소매업,12951.0
18,강원,서양식 음식점업,86903.0
19,강원,수산물 소매업,188371.0
20,강원,슈퍼마켓,1619140.0
21,강원,스포츠 및 레크레이션 용품 임대업,19642.0
22,강원,여관업,154809.0
23,강원,여행사업,43683.0
24,강원,욕탕업,50200.0
25,강원,육류 소매업,334864.0
26,강원,일반유흥 주점업,108588.0
27,강원,일식 음식점업,52595.0
28,강원,자동차 임대업,68169.0
29,강원,전시 및 행사 대행업,28601.0
30,강원,중식 음식점업,113233.0
31,강원,차량용 가스 충전업,170552.0
32,강원,차량용 주유소 운영업,1483206.0
33,강원,체인화 편의점,693874.0
34,강원,택시 운송업,504004.17647058854
35,강원,피자 햄버거 샌드위치 및 유사 음식점업,119406.0
36,강원,한식 음식점업,2068081.0
37,강원,호텔업,102990.0
38,강원,화장품 및 방향제 소매업,135940.0
39,강원,휴양콘도 운영업,1004951.0
40,경기,건강보조식품 소매업,413505.0
41,경기,골프장 운영업,1646278.0
42,경기,과실 및 채소 소매업,589820.0
43,경기,관광 민예품 및 선물용품 소매업,75548.0
44,경기,그외 기타 분류안된 오락관련 서비스업,97885.0
45,경기,그외 기타 스포츠시설 운영업,73143.0
46,경기,그외 기타 종합 소매업,778192.0
47,경기,기타 대형 종합 소매업,10127428.0
48,경기,기타 수상오락 서비스업,11304.0
49,경기,기타 외국식 음식점업,154317.0
50,경기,기타 주점업,1691236.0
51,경기,기타음식료품위주종합소매업,2420980.0
52,경기,내항 여객 운송업,18331.5294117647
53,경기,마사지업,121745.0
54,경기,버스 운송업,499493.29411766725
55,경기,비알콜 음료점업,1687006.0
56,경기,빵 및 과자류 소매업,135630.0
57,경기,서양식 음식점업,934981.0
58,경기,수산물 소매업,418383.0
59,경기,슈퍼마켓,8934575.0
60,경기,스포츠 및 레크레이션 용품 임대업,36977.0
61,경기,여관업,596569.0
62,경기,여행사업,244800.0
63,경기,욕탕업,305229.0
64,경기,육류 소매업,1966747.0
65,경기,일반유흥 주점업,514249.0
66,경기,일식 음식점업,720632.0
67,경기,자동차 임대업,773845.0
68,경기,전시 및 행사 대행업,234397.0
69,경기,중식 음식점업,1075824.0
70,경기,차량용 가스 충전업,1645934.0
71,경기,차량용 주유소 운영업,9891577.0
72,경기,체인화 편의점,4849639.0
73,경기,택시 운송업,504004.1764705808
74,경기,피자 햄버거 샌드위치 및 유사 음식점업,1206847.0
75,경기,한식 음식점업,13506239.0
76,경기,호텔업,320024.0
77,경기,화장품 및 방향제 소매업,1825913.0
78,경기,휴양콘도 운영업,447599.0
79,경남,건강보조식품 소매업,89203.0
80,경남,골프장 운영업,349382.0
81,경남,과실 및 채소 소매업,250442.0
82,경남,관광 민예품 및 선물용품 소매업,18708.0
83,경남,그외 기타 분류안된 오락관련 서비스업,21073.0
84,경남,그외 기타 스포츠시설 운영업,19745.0
85,경남,그외 기타 종합 소매업,269909.0
86,경남,기타 대형 종합 소매업,1796280.0
87,경남,기타 수상오락 서비스업,8766.0
88,경남,기타 외국식 음식점업,17755.0
89,경남,기타 주점업,412251.0
90,경남,기타음식료품위주종합소매업,655465.0
91,경남,내항 여객 운송업,18331.529411764797
92,경남,마사지업,29446.0
93,경남,버스 운송업,499493.29411764565
94,경남,비알콜 음료점업,311771.0
95,경남,빵 및 과자류 소매업,25190.0
96,경남,서양식 음식점업,177396.0
97,경남,수산물 소매업,253116.0
98,경남,슈퍼마켓,3079161.0
99,경남,스포츠 및 레크레이션 용품 임대업,8075.0
100,경남,여관업,211560.0
101,경남,여행사업,87144.0
102,경남,욕탕업,133432.0
103,경남,육류 소매업,391697.0
104,경남,일반유흥 주점업,303699.0
105,경남,일식 음식점업,111420.0
106,경남,자동차 임대업,120018.0
107,경남,전시 및 행사 대행업,25501.0
108,경남,중식 음식점업,194525.0
109,경남,차량용 가스 충전업,298358.0
110,경남,차량용 주유소 운영업,3062450.0
111,경남,체인화 편의점,1142926.0
112,경남,택시 운송업,504004.17647058563
113,경남,피자 햄버거 샌드위치 및 유사 음식점업,304421.0
114,경남,한식 음식점업,3503501.0
115,경남,호텔업,89377.0
116,경남,화장품 및 방향제 소매업,350272.0
117,경남,휴양콘도 운영업,104117.0
118,경북,건강보조식품 소매업,43912.0
119,경북,골프장 운영업,474188.0
120,경북,과실 및 채소 소매업,219830.0
121,경북,관광 민예품 및 선물용품 소매업,12573.0
122,경북,그외 기타 분류안된 오락관련 서비스업,31248.0
123,경북,그외 기타 스포츠시설 운영업,90421.0
124,경북,그외 기타 종합 소매업,74510.0
125,경북,기타 대형 종합 소매업,1148101.0
126,경북,기타 수상오락 서비스업,4423.0
127,경북,기타 외국식 음식점업,6059.0
128,경북,기타 주점업,306064.0
129,경북,기타음식료품위주종합소매업,642262.0
130,경북,내항 여객 운송업,18331.529411764768
131,경북,마사지업,15686.0
132,경북,버스 운송업,499493.29411764664
133,경북,비알콜 음료점업,267899.0
134,경북,빵 및 과자류 소매업,23959.0
135,경북,서양식 음식점업,86311.0
136,경북,수산물 소매업,246453.0
137,경북,슈퍼마켓,2234228.0
138,경북,스포츠 및 레크레이션 용품 임대업,3888.0
139,경북,여관업,161103.0
140,경북,여행사업,78340.0
141,경북,욕탕업,104026.0
142,경북,육류 소매업,612592.0
143,경북,일반유흥 주점업,134360.0
144,경북,일식 음식점업,49698.0
145,경북,자동차 임대업,74442.0
146,경북,전시 및 행사 대행업,34632.0
147,경북,중식 음식점업,160509.0
148,경북,차량용 가스 충전업,374976.0
149,경북,차량용 주유소 운영업,3240792.0
150,경북,체인화 편의점,756003.0
151,경북,택시 운송업,504004.1764705874
