"행정구역","2019년07월_남_거주자_총인구수","2019년07월_남_거주자_연령구간인구수","2019년07월_남_거주자_0~9세","2019년07월_남_거주자_10~19세","2019년07월_남_거주자_20~29세","2019년07월_남_거주자_30~39세","2019년07월_남_거주자_40~49세","2019년07월_남_거주자_50~59세","2019년07월_남_거주자_60~69세","2019년07월_남_거주자_70~79세","2019년07월_남_거주자_80~89세","2019년07월_남_거주자_90~99세","2019년07월_남_거주자_100세 이상","2019년07월_여_거주자_총인구수","2019년07월_여_거주자_연령구간인구수","2019년07월_여_거주자_0~9세","2019년07월_여_거주자_10~19세","2019년07월_여_거주자_20~29세","2019년07월_여_거주자_30~39세","2019년07월_여_거주자_40~49세","2019년07월_여_거주자_50~59세","2019년07월_여_거주자_60~69세","2019년07월_여_거주자_70~79세","2019년07월_여_거주자_80~89세","2019년07월_여_거주자_90~99세","2019년07월_여_거주자_100세 이상","2019년08월_남_거주자_총인구수","2019년08월_남_거주자_연령구간인구수","2019년08월_남_거주자_0~9세","2019년08월_남_거주자_10~19세","2019년08월_남_거주자_20~29세","2019년08월_남_거주자_30~39세","2019년08월_남_거주자_40~49세","2019년08월_남_거주자_50~59세","2019년08월_남_거주자_60~69세","2019년08월_남_거주자_70~79세","2019년08월_남_거주자_80~89세","2019년08월_남_거주자_90~99세","2019년08월_남_거주자_100세 이상","2019년08월_여_거주자_총인구수","2019년08월_여_거주자_연령구간인구수","2019년08월_여_거주자_0~9세","2019년08월_여_거주자_10~19세","2019년08월_여_거주자_20~29세","2019년08월_여_거주자_30~39세","2019년08월_여_거주자_40~49세","2019년08월_여_거주자_50~59세","2019년08월_여_거주자_60~69세","2019년08월_여_거주자_70~79세","2019년08월_여_거주자_80~89세","2019년08월_여_거주자_90~99세","2019년08월_여_거주자_100세 이상","2019년09월_남_거주자_총인구수","2019년09월_남_거주자_연령구간인구수","2019년09월_남_거주자_0~9세","2019년09월_남_거주자_10~19세","2019년09월_남_거주자_20~29세","2019년09월_남_거주자_30~39세","2019년09월_남_거주자_40~49세","2019년09월_남_거주자_50~59세","2019년09월_남_거주자_60~69세","2019년09월_남_거주자_70~79세","2019년09월_남_거주자_80~89세","2019년09월_남_거주자_90~99세","2019년09월_남_거주자_100세 이상","2019년09월_여_거주자_총인구수","2019년09월_여_거주자_연령구간인구수","2019년09월_여_거주자_0~9세","2019년09월_여_거주자_10~19세","2019년09월_여_거주자_20~29세","2019년09월_여_거주자_30~39세","2019년09월_여_거주자_40~49세","2019년09월_여_거주자_50~59세","2019년09월_여_거주자_60~69세","2019년09월_여_거주자_70~79세","2019년09월_여_거주자_80~89세","2019년09월_여_거주자_90~99세","2019년09월_여_거주자_100세 이상","2019년10월_남_거주자_총인구수","2019년10월_남_거주자_연령구간인구수","2019년10월_남_거주자_0~9세","2019년10월_남_거주자_10~19세","2019년10월_남_거주자_20~29세","2019년10월_남_거주자_30~39세","2019년10월_남_거주자_40~49세","2019년10월_남_거주자_50~59세","2019년10월_남_거주자_60~69세","2019년10월_남_거주자_70~79세","2019년10월_남_거주자_80~89세","2019년10월_남_거주자_90~99세","2019년10월_남_거주자_100세 이상","2019년10월_여_거주자_총인구수","2019년10월_여_거주자_연령구간인구수","2019년10월_여_거주자_0~9세","2019년10월_여_거주자_10~19세","2019년10월_여_거주자_20~29세","2019년10월_여_거주자_30~39세","2019년10월_여_거주자_40~49세","2019년10월_여_거주자_50~59세","2019년10월_여_거주자_60~69세","2019년10월_여_거주자_70~79세","2019년10월_여_거주자_80~89세","2019년10월_여_거주자_90~99세","2019년10월_여_거주자_100세 이상","2019년11월_남_거주자_총인구수","2019년11월_남_거주자_연령구간인구수","2019년11월_남_거주자_0~9세","2019년11월_남_거주자_10~19세","2019년11월_남_거주자_20~29세","2019년11월_남_거주자_30~39세","2019년11월_남_거주자_40~49세","2019년11월_남_거주자_50~59세","2019년11월_남_거주자_60~69세","2019년11월_남_거주자_70~79세","2019년11월_남_거주자_80~89세","2019년11월_남_거주자_90~99세","2019년11월_남_거주자_100세 이상","2019년11월_여_거주자_총인구수","2019년11월_여_거주자_연령구간인구수","2019년11월_여_거주자_0~9세","2019년11월_여_거주자_10~19세","2019년11월_여_거주자_20~29세","2019년11월_여_거주자_30~39세","2019년11월_여_거주자_40~49세","2019년11월_여_거주자_50~59세","2019년11월_여_거주자_60~69세","2019년11월_여_거주자_70~79세","2019년11월_여_거주자_80~89세","2019년11월_여_거주자_90~99세","2019년11월_여_거주자_100세 이상","2019년12월_남_거주자_총인구수","2019년12월_남_거주자_연령구간인구수","2019년12월_남_거주자_0~9세","2019년12월_남_거주자_10~19세","2019년12월_남_거주자_20~29세","2019년12월_남_거주자_30~39세","2019년12월_남_거주자_40~49세","2019년12월_남_거주자_50~59세","2019년12월_남_거주자_60~69세","2019년12월_남_거주자_70~79세","2019년12월_남_거주자_80~89세","2019년12월_남_거주자_90~99세","2019년12월_남_거주자_100세 이상","2019년12월_여_거주자_총인구수","2019년12월_여_거주자_연령구간인구수","2019년12월_여_거주자_0~9세","2019년12월_여_거주자_10~19세","2019년12월_여_거주자_20~29세","2019년12월_여_거주자_30~39세","2019년12월_여_거주자_40~49세","2019년12월_여_거주자_50~59세","2019년12월_여_거주자_60~69세","2019년12월_여_거주자_70~79세","2019년12월_여_거주자_80~89세","2019년12월_여_거주자_90~99세","2019년12월_여_거주자_100세 이상"
"전국  (0000000000)","25,612,537","25,612,537","2,166,665","2,601,772","3,571,583","3,641,141","4,219,086","4,303,018","2,959,823","1,567,012","535,334","46,291","812","25,732,392","25,732,392","2,055,247","2,416,944","3,217,017","3,456,198","4,088,900","4,253,788","3,092,099","1,950,154","1,032,712","164,791","4,542","25,613,980","25,613,980","2,160,981","2,594,864","3,570,697","3,632,854","4,214,840","4,305,417","2,974,700","1,573,021","539,030","46,759","817","25,735,092","25,735,092","2,049,676","2,411,779","3,216,911","3,446,242","4,084,993","4,255,374","3,106,922","1,954,787","1,037,863","165,990","4,555","25,611,693","25,611,693","2,153,886","2,587,782","3,569,412","3,626,873","4,209,061","4,306,687","2,988,997","1,577,876","543,298","46,990","831","25,735,870","25,735,870","2,042,694","2,406,217","3,216,330","3,439,952","4,079,437","4,256,378","3,121,478","1,958,524","1,043,129","167,132","4,599","25,611,186","25,611,186","2,147,630","2,580,257","3,568,311","3,618,604","4,206,035","4,307,225","3,005,881","1,582,155","547,068","47,194","826","25,737,942","25,737,942","2,037,427","2,399,607","3,215,930","3,431,236","4,076,087","4,256,560","3,138,748","1,961,919","1,047,597","168,200","4,631","25,611,576","25,611,576","2,141,882","2,572,431","3,566,719","3,610,459","4,205,909","4,306,846","3,023,189","1,584,913","550,900","47,506","822","25,739,417","25,739,417","2,031,995","2,392,585","3,215,356","3,420,820","4,076,778","4,256,412","3,155,967","1,963,745","1,051,892","169,204","4,663","25,609,835","25,609,835","2,136,892","2,563,745","3,566,306","3,600,538","4,207,170","4,298,257","3,044,359","1,588,011","555,794","47,947","816","25,739,567","25,739,567","2,027,383","2,384,662","3,211,937","3,412,592","4,077,591","4,247,111","3,179,686","1,965,321","1,057,529","171,090","4,665"
"서울특별시  (1100000000)","4,675,940","4,675,940","345,438","426,286","712,435","754,578","762,776","736,692","537,885","300,396","91,085","8,200","169","4,907,104","4,907,104","327,516","403,600","737,322","754,639","777,021","773,438","598,188","357,245","151,977","25,431","727","4,672,262","4,672,262","343,809","425,151","712,221","752,143","761,150","736,515","539,520","301,406","91,901","8,279","167","4,904,768","4,904,768","325,915","402,583","738,003","752,200","775,421","772,997","600,140","358,507","152,697","25,577","728","4,668,942","4,668,942","342,645","423,561","711,486","750,586","759,641","736,297","541,270","302,183","92,734","8,374","165","4,903,418","4,903,418","324,528","401,287","738,409","750,911","774,205","772,394","602,051","359,619","153,562","25,716","736","4,666,380","4,666,380","341,648","422,364","710,198","749,195","758,641","735,891","543,394","302,900","93,595","8,396","158","4,901,833","4,901,833","323,636","399,670","737,998","749,402","773,398","771,749","604,586","360,603","154,244","25,805","742","4,664,221","4,664,221","340,575","421,183","709,290","747,891","758,126","735,363","545,458","303,419","94,275","8,484","157","4,900,485","4,900,485","322,668","398,047","737,783","747,807","773,310","770,873","607,027","361,274","154,936","26,010","750","4,661,515","4,661,515","339,883","419,542","708,635","746,416","757,851","733,348","547,984","303,946","95,210","8,545","155","4,899,441","4,899,441","321,916","396,367","737,524","746,579","773,185","768,555","610,348","362,020","155,937","26,271","739"
"부산광역시  (2600000000)","1,663,687","1,663,687","126,638","149,342","230,011","224,470","257,603","279,908","233,629","124,045","35,445","2,552","44","1,724,209","1,724,209","119,957","138,738","208,413","215,165","255,663","300,112","257,184","152,133","66,718","9,893","233","1,662,633","1,662,633","126,311","148,807","229,723","223,679","257,300","279,462","234,359","124,598","35,767","2,583","44","1,723,331","1,723,331","119,596","138,338","208,171","214,292","255,312","299,718","257,904","152,718","67,105","9,941","236","1,661,433","1,661,433","125,839","148,325","229,369","223,093","257,024","278,940","235,037","125,084","36,089","2,590","43","1,722,642","1,722,642","119,222","137,941","207,921","213,657","255,036","299,080","258,801","153,247","67,470","10,028","239","1,659,965","1,659,965","125,467","147,624","228,845","222,217","256,844","278,549","235,839","125,601","36,326","2,611","42","1,721,541","1,721,541","118,906","137,305","207,450","212,910","254,660","298,645","259,787","153,740","67,817","10,074","247","1,658,870","1,658,870","125,089","147,161","228,367","221,308","256,863","278,179","236,709","125,897","36,632","2,623","42","1,720,644","1,720,644","118,558","136,784","207,078","212,136","254,506","298,155","260,868","154,035","68,143","10,137","244","1,657,053","1,657,053","124,863","146,529","227,772","220,268","256,731","277,254","237,779","126,121","37,038","2,659","39","1,719,513","1,719,513","118,339","136,177","206,550","211,408","254,236","297,018","262,311","154,397","68,591","10,238","248"
"대구광역시  (2700000000)","1,201,298","1,201,298","97,815","127,063","175,805","159,125","193,544","208,356","141,760","72,141","23,959","1,711","19","1,228,755","1,228,755","93,032","115,000","150,468","150,300","199,311","218,161","155,202","95,051","45,874","6,215","141","1,200,470","1,200,470","97,599","126,477","175,570","158,749","193,210","208,143","142,350","72,484","24,150","1,718","20","1,227,831","1,227,831","92,680","114,580","150,226","149,698","198,871","218,101","155,873","95,327","46,076","6,257","142","1,199,362","1,199,362","97,234","126,016","175,184","158,385","192,728","208,012","142,971","72,698","24,380","1,733","21","1,227,131","1,227,131","92,390","114,137","150,019","149,212","198,515","217,976","156,585","95,433","46,421","6,297","146","1,198,300","1,198,300","96,897","125,570","174,760","158,000","192,285","207,940","143,673","72,852","24,553","1,750","20","1,226,545","1,226,545","92,132","113,696","149,869","148,568","198,219","217,860","157,423","95,598","46,677","6,355","148","1,197,234","1,197,234","96,670","124,978","174,355","157,469","192,194","207,740","144,372","72,967","24,713","1,757","19","1,225,715","1,225,715","91,885","113,273","149,593","147,791","198,065","217,740","158,225","95,602","47,018","6,374","149","1,195,126","1,195,126","96,544","124,151","173,577","156,659","191,852","206,720","145,697","73,201","24,948","1,757","20","1,224,175","1,224,175","91,676","112,752","148,903","147,122","197,661","216,591","159,963","95,577","47,363","6,415","152"
"인천광역시  (2800000000)","1,466,498","1,466,498","126,237","147,481","212,381","217,586","246,568","254,743","160,674","75,064","23,413","2,299","52","1,461,548","1,461,548","119,891","138,461","194,251","204,784","238,081","255,555","163,200","91,948","47,042","8,114","221","1,466,384","1,466,384","125,834","147,010","212,271","217,029","246,377","254,810","161,649","75,453","23,574","2,326","51","1,461,541","1,461,541","119,546","138,182","194,088","204,193","237,827","255,560","164,264","92,272","47,233","8,154","222","1,466,130","1,466,130","125,410","146,520","212,334","216,494","246,059","254,807","162,502","75,818","23,813","2,321","52","1,461,551","1,461,551","119,100","137,994","193,836","203,921","237,296","255,667","165,297","92,509","47,481","8,221","229","1,466,217","1,466,217","124,997","146,204","212,233","215,910","246,145","254,735","163,540","76,092","23,983","2,327","51","1,461,819","1,461,819","118,657","137,788","193,826","203,376","237,080","255,674","166,495","92,701","47,697","8,297","228","1,466,491","1,466,491","124,654","145,867","212,090","215,428","246,416","254,542","164,699","76,212","24,191","2,341","51","1,462,019","1,462,019","118,300","137,428","193,718","202,881","237,172","255,675","167,554","92,784","47,911","8,372","224","1,466,310","1,466,310","124,295","145,463","211,901","214,920","246,596","253,867","166,042","76,416","24,413","2,346","51","1,462,093","1,462,093","117,935","137,116","193,483","202,337","237,311","255,256","168,841","92,978","48,135","8,481","220"
"광주광역시  (2900000000)","718,095","718,095","66,126","86,734","108,489","98,685","120,707","114,176","70,590","39,110","12,450","1,018","10","732,335","732,335","62,228","80,297","98,723","96,482","122,668","116,892","77,552","49,531","23,926","3,909","127","717,934","717,934","65,896","86,401","108,604","98,372","120,699","114,155","71,005","39,208","12,546","1,037","11","732,505","732,505","62,086","80,068","98,939","96,165","122,658","116,936","77,919","49,670","24,017","3,920","127","717,824","717,824","65,642","86,165","108,689","98,189","120,539","114,221","71,349","39,330","12,642","1,048","10","732,668","732,668","61,865","79,881","99,180","95,863","122,550","116,923","78,339","49,824","24,187","3,927","129","717,695","717,695","65,398","85,931","108,696","97,944","120,466","114,274","71,746","39,456","12,714","1,060","10","732,522","732,522","61,681","79,614","99,244","95,400","122,407","116,973","78,794","50,068","24,282","3,929","130","717,431","717,431","65,237","85,664","108,678","97,607","120,369","114,321","72,066","39,611","12,793","1,074","11","732,381","732,381","61,527","79,375","99,219","95,012","122,434","116,944","79,188","50,239","24,344","3,970","129","716,003","716,003","65,066","85,288","108,064","97,066","120,233","114,147","72,446","39,702","12,877","1,104","10","731,379","731,379","61,417","78,962","98,792","94,612","122,275","116,856","79,563","50,332","24,369","4,073","128"
"대전광역시  (3000000000)","734,094","734,094","64,157","80,723","112,441","104,192","120,657","119,927","79,007","38,713","13,097","1,157","23","736,985","736,985","60,535","74,898","100,729","98,109","121,663","122,157","83,270","47,250","24,358","3,918","98","733,529","733,529","63,829","80,409","112,393","103,942","120,409","119,897","79,368","38,908","13,195","1,156","23","736,452","736,452","60,249","74,734","100,633","97,769","121,388","122,072","83,689","47,391","24,461","3,967","99","732,952","732,952","63,487","80,224","112,227","103,778","120,097","119,845","79,828","38,992","13,289","1,162","23","735,996","735,996","59,966","74,492","100,550","97,486","121,102","122,165","84,098","47,474","24,592","3,971","100","732,306","732,306","63,198","79,935","111,971","103,597","119,836","119,899","80,220","39,102","13,375","1,150","23","735,517","735,517","59,729","74,175","100,571","97,265","120,796","122,114","84,518","47,545","24,713","3,993","98","731,509","731,509","62,875","79,765","111,671","103,229","119,753","119,836","80,602","39,134","13,467","1,154","23","734,854","734,854","59,455","73,938","100,460","96,817","120,624","122,083","84,893","47,659","24,823","3,999","103","730,521","730,521","62,568","79,336","111,600","102,770","119,650","119,425","81,163","39,212","13,612","1,165","20","733,785","733,785","59,209","73,637","100,191","96,224","120,465","121,664","85,581","47,731","24,953","4,029","101"
"울산광역시  (3100000000)","587,695","587,695","54,695","62,341","84,023","85,176","96,062","107,435","65,291","25,838","6,414","417","3","557,162","557,162","51,431","55,871","66,397","76,651","94,200","102,823","63,900","29,523","14,023","2,297","46","587,450","587,450","54,534","62,189","83,805","84,935","95,955","107,415","65,703","26,047","6,446","418","3","556,849","556,849","51,275","55,689","66,269","76,291","94,049","102,888","64,302","29,675","14,049","2,315","47","587,112","587,112","54,294","62,044","83,631","84,734","95,807","107,353","66,136","26,182","6,510","418","3","556,630","556,630","51,043","55,636","66,047","76,161","93,872","102,922","64,681","29,792","14,117","2,316","43","586,811","586,811","54,201","61,842","83,458","84,403","95,763","107,263","66,556","26,338","6,565","420","2","556,454","556,454","50,893","55,512","65,932","75,838","93,668","102,979","65,143","29,893","14,221","2,331","44","586,601","586,601","53,964","61,726","83,376","84,061","95,827","107,209","67,010","26,398","6,606","421","3","556,226","556,226","50,765","55,368","65,780","75,476","93,694","102,944","65,558","29,992","14,250","2,356","43","586,217","586,217","53,741","61,493","83,332","83,647","95,832","106,963","67,568","26,520","6,695","423","3","555,695","555,695","50,601","55,157","65,433","75,154","93,489","102,882","66,143","30,058","14,353","2,383","42"
"세종특별자치시  (3600000000)","164,276","164,276","23,638","19,471","17,862","29,394","31,914","21,113","12,696","5,860","2,122","205","1","164,921","164,921","22,580","19,253","17,428","30,922","29,825","19,631","13,021","7,131","4,330","772","28","165,186","165,186","23,724","19,607","17,908","29,476","32,132","21,257","12,816","5,917","2,137","211","1","165,810","165,810","22,670","19,390","17,512","30,963","30,069","19,720","13,136","7,189","4,346","789","26","165,968","165,968","23,749","19,713","18,012","29,572","32,293","21,370","12,935","5,948","2,159","215","2","166,653","166,653","22,694","19,518","17,568","31,094","30,217","19,925","13,212","7,228","4,376","795","26","167,226","167,226","23,912","19,881","18,152","29,685","32,533","21,602","13,102","5,971","2,168","218","2","167,992","167,992","22,878","19,667","17,700","31,238","30,528","20,105","13,365","7,266","4,417","800","28","168,334","168,334","24,044","19,950","18,269","29,815","32,808","21,727","13,301","5,998","2,198","222","2","169,171","169,171","23,040","19,797","17,816","31,331","30,824","20,265","13,509","7,291","4,464","806","28","169,262","169,262","24,148","20,092","18,324","29,906","33,079","21,823","13,401","6,037","2,222","228","2","170,172","170,172","23,092","19,938","17,965","31,390","31,124","20,380","13,643","7,311","4,498","805","26"
"경기도  (4100000000)","6,568,390","6,568,390","612,556","705,543","922,457","984,761","1,146,709","1,092,214","660,139","323,697","110,006","10,104","204","6,492,393","6,492,393","582,346","662,195","832,014","937,204","1,113,891","1,063,621","670,571","395,443","200,922","33,265","921","6,577,750","6,577,750","611,981","704,689","923,481","984,632","1,146,979","1,094,488","664,951","325,358","110,758","10,224","209","6,501,531","6,501,531","581,749","661,584","832,901","936,133","1,114,336","1,066,196","675,001","396,819","202,320","33,571","921","6,584,179","6,584,179","610,593","703,185","924,428","984,639","1,146,873","1,096,366","669,248","326,656","111,735","10,241","215","6,507,681","6,507,681","580,303","660,441","833,728","935,470","1,113,695","1,068,446","679,386","397,888","203,530","33,872","922","6,589,747","6,589,747","609,247","701,083","925,499","983,587","1,147,015","1,097,880","674,500","327,790","112,611","10,318","217","6,513,693","6,513,693","579,079","659,091","834,412","934,082","1,113,778","1,070,318","684,322","398,828","204,691","34,160","932","6,594,001","6,594,001","608,097","698,524","925,601","982,518","1,147,867","1,099,064","679,596","328,484","113,614","10,420","216","6,518,836","6,518,836","577,943","657,205","834,920","932,093","1,114,821","1,071,974","689,128","399,629","205,747","34,420","956","6,599,590","6,599,590","607,001","696,568","927,123","980,917","1,149,908","1,098,007","685,471","329,166","114,734","10,483","212","6,524,929","6,524,929","577,154","655,532","835,162","931,047","1,116,522","1,071,224","695,229","400,317","206,957","34,828","957"
