"행정구역","2020년01월_남_거주자_총인구수","2020년01월_남_거주자_연령구간인구수","2020년01월_남_거주자_0~9세","2020년01월_남_거주자_10~19세","2020년01월_남_거주자_20~29세","2020년01월_남_거주자_30~39세","2020년01월_남_거주자_40~49세","2020년01월_남_거주자_50~59세","2020년01월_남_거주자_60~69세","2020년01월_남_거주자_70~79세","2020년01월_남_거주자_80~89세","2020년01월_남_거주자_90~99세","2020년01월_남_거주자_100세 이상","2020년01월_여_거주자_총인구수","2020년01월_여_거주자_연령구간인구수","2020년01월_여_거주자_0~9세","2020년01월_여_거주자_10~19세","2020년01월_여_거주자_20~29세","2020년01월_여_거주자_30~39세","2020년01월_여_거주자_40~49세","2020년01월_여_거주자_50~59세","2020년01월_여_거주자_60~69세","2020년01월_여_거주자_70~79세","2020년01월_여_거주자_80~89세","2020년01월_여_거주자_90~99세","2020년01월_여_거주자_100세 이상","2020년02월_남_거주자_총인구수","2020년02월_남_거주자_연령구간인구수","2020년02월_남_거주자_0~9세","2020년02월_남_거주자_10~19세","2020년02월_남_거주자_20~29세","2020년02월_남_거주자_30~39세","2020년02월_남_거주자_40~49세","2020년02월_남_거주자_50~59세","2020년02월_남_거주자_60~69세","2020년02월_남_거주자_70~79세","2020년02월_남_거주자_80~89세","2020년02월_남_거주자_90~99세","2020년02월_남_거주자_100세 이상","2020년02월_여_거주자_총인구수","2020년02월_여_거주자_연령구간인구수","2020년02월_여_거주자_0~9세","2020년02월_여_거주자_10~19세","2020년02월_여_거주자_20~29세","2020년02월_여_거주자_30~39세","2020년02월_여_거주자_40~49세","2020년02월_여_거주자_50~59세","2020년02월_여_거주자_60~69세","2020년02월_여_거주자_70~79세","2020년02월_여_거주자_80~89세","2020년02월_여_거주자_90~99세","2020년02월_여_거주자_100세 이상","2020년03월_남_거주자_총인구수","2020년03월_남_거주자_연령구간인구수","2020년03월_남_거주자_0~9세","2020년03월_남_거주자_10~19세","2020년03월_남_거주자_20~29세","2020년03월_남_거주자_30~39세","2020년03월_남_거주자_40~49세","2020년03월_남_거주자_50~59세","2020년03월_남_거주자_60~69세","2020년03월_남_거주자_70~79세","2020년03월_남_거주자_80~89세","2020년03월_남_거주자_90~99세","2020년03월_남_거주자_100세 이상","2020년03월_여_거주자_총인구수","2020년03월_여_거주자_연령구간인구수","2020년03월_여_거주자_0~9세","2020년03월_여_거주자_10~19세","2020년03월_여_거주자_20~29세","2020년03월_여_거주자_30~39세","2020년03월_여_거주자_40~49세","2020년03월_여_거주자_50~59세","2020년03월_여_거주자_60~69세","2020년03월_여_거주자_70~79세","2020년03월_여_거주자_80~89세","2020년03월_여_거주자_90~99세","2020년03월_여_거주자_100세 이상"
"전국  (0000000000)","25,609,318","25,609,318","2,127,243","2,553,971","3,561,402","3,590,547","4,210,271","4,300,075","3,060,908","1,594,609","560,923","48,524","845","25,739,609","25,739,609","2,018,807","2,375,940","3,213,265","3,397,546","4,081,094","4,245,624","3,196,555","1,969,537","1,063,359","173,135","4,747","25,606,386","25,606,386","2,119,977","2,543,484","3,549,802","3,583,242","4,214,258","4,300,986","3,080,158","1,598,686","565,925","48,984","884","25,738,564","25,738,564","2,012,222","2,366,759","3,204,622","3,386,716","4,084,978","4,244,567","3,217,578","1,971,114","1,070,022","175,163","4,823","25,606,315","25,606,315","2,111,948","2,533,395","3,556,729","3,573,958","4,203,539","4,300,673","3,100,047","1,605,108","570,578","49,437","903","25,739,132","25,739,132","2,004,931","2,358,166","3,210,957","3,376,173","4,074,448","4,241,532","3,238,767","1,975,382","1,076,567","177,344","4,865"
"서울특별시  (1100000000)","4,662,851","4,662,851","338,700","417,825","708,039","745,366","758,669","733,753","550,226","305,228","96,250","8,631","164","4,902,916","4,902,916","320,821","394,875","738,966","744,984","774,021","768,188","613,108","363,609","157,075","26,509","760","4,663,032","4,663,032","337,640","415,932","706,426","744,844","759,488","734,021","552,606","306,035","97,163","8,706","171","4,906,233","4,906,233","319,828","393,977","739,182","744,215","774,694","767,698","616,276","364,478","158,305","26,809","771","4,660,502","4,660,502","336,026","413,963","708,309","742,870","756,706","733,576","554,890","307,073","98,132","8,780","177","4,905,802","4,905,802","318,224","392,764","742,605","742,159","771,783","766,194","619,207","365,565","159,406","27,128","767"
"부산광역시  (2600000000)","1,655,982","1,655,982","124,233","146,009","227,217","219,345","256,830","276,859","238,737","126,499","37,517","2,696","40","1,718,759","1,718,759","117,878","135,639","206,620","210,259","254,230","296,336","263,221","154,874","69,097","10,356","249","1,655,067","1,655,067","123,924","145,333","226,413","218,634","257,177","276,450","239,600","126,809","37,972","2,713","42","1,718,800","1,718,800","117,581","135,259","206,477","209,409","254,403","295,733","264,399","155,157","69,633","10,497","252","1,654,222","1,654,222","123,489","144,685","226,598","217,941","256,450","275,969","240,502","127,450","38,358","2,735","45","1,718,874","1,718,874","117,249","134,694","206,914","208,720","253,794","294,905","265,830","155,714","70,166","10,633","255"
"대구광역시  (2700000000)","1,194,301","1,194,301","96,099","123,463","173,067","156,329","191,661","206,942","146,136","73,538","25,287","1,759","20","1,223,560","1,223,560","91,292","112,146","149,022","146,261","197,329","216,719","160,513","95,882","47,710","6,527","159","1,192,275","1,192,275","95,645","122,729","172,011","155,775","191,247","206,975","146,788","73,830","25,483","1,771","21","1,221,973","1,221,973","90,894","111,503","148,354","145,483","196,893","216,733","161,328","96,034","47,994","6,596","161","1,192,419","1,192,419","95,250","122,070","172,592","155,408","190,600","207,180","147,659","74,159","25,688","1,790","23","1,222,858","1,222,858","90,609","110,953","148,919","145,088","196,271","216,982","162,471","96,425","48,303","6,676","161"
"인천광역시  (2800000000)","1,465,962","1,465,962","123,608","144,968","211,489","214,024","246,876","253,785","167,309","76,897","24,607","2,343","56","1,461,731","1,461,731","117,275","136,688","193,526","201,177","237,478","255,101","170,112","93,193","48,376","8,579","226","1,465,245","1,465,245","123,073","144,345","210,720","213,450","246,988","253,531","168,700","77,189","24,840","2,352","57","1,461,124","1,461,124","116,709","136,076","192,936","200,372","237,657","254,830","171,688","93,318","48,654","8,659","225","1,464,147","1,464,147","122,398","143,662","210,732","212,735","246,360","253,334","169,942","77,527","25,034","2,367","56","1,460,211","1,460,211","116,210","135,450","192,927","199,530","236,861","254,614","173,141","93,569","48,932","8,745","232"
"광주광역시  (2900000000)","716,255","716,255","64,659","84,946","108,273","96,782","120,267","114,485","72,866","39,875","12,972","1,120","10","731,417","731,417","61,204","78,466","99,131","94,120","122,222","117,094","79,969","50,402","24,531","4,151","127","715,993","715,993","64,423","84,500","108,018","96,559","120,436","114,624","73,197","39,983","13,087","1,154","12","731,088","731,088","60,935","78,055","98,954","93,638","122,406","117,180","80,472","50,383","24,726","4,207","132","715,815","715,815","64,142","84,181","108,166","96,262","120,278","114,688","73,694","40,027","13,211","1,154","12","730,907","730,907","60,776","77,784","99,035","93,157","122,297","117,142","81,000","50,470","24,842","4,270","134"
"대전광역시  (3000000000)","730,247","730,247","62,198","79,016","111,463","102,553","119,615","119,503","81,512","39,501","13,689","1,177","20","733,430","733,430","58,887","73,339","100,348","95,704","120,491","121,487","86,064","47,927","24,997","4,084","102","729,697","729,697","61,902","78,589","111,130","102,459","119,499","119,401","82,058","39,653","13,805","1,182","19","732,798","732,798","58,522","73,065","100,156","95,176","120,478","121,336","86,673","48,055","25,093","4,137","107","729,194","729,194","61,640","78,222","111,224","102,224","119,063","119,193","82,589","39,914","13,899","1,206","20","732,188","732,188","58,265","72,765","100,196","94,738","120,134","121,037","87,302","48,260","25,195","4,191","105"
"울산광역시  (3100000000)","585,758","585,758","53,414","61,308","82,996","83,316","95,881","106,924","67,997","26,687","6,796","437","2","555,207","555,207","50,390","54,945","65,283","74,639","93,422","102,908","66,538","30,192","14,439","2,409","42","585,073","585,073","53,169","60,989","82,497","83,074","95,857","106,844","68,506","26,807","6,886","442","2","554,466","554,466","50,193","54,552","64,868","74,264","93,373","102,896","67,044","30,264","14,540","2,430","42","584,596","584,596","52,969","60,656","82,384","82,765","95,711","106,761","68,942","26,989","6,971","446","2","553,839","553,839","49,977","54,281","64,677","73,873","93,016","102,903","67,588","30,344","14,691","2,448","41"
"세종특별자치시  (3600000000)","170,157","170,157","24,212","20,256","18,390","29,905","33,360","21,905","13,547","6,111","2,237","231","3","171,039","171,039","23,121","20,098","18,014","31,380","31,480","20,484","13,752","7,353","4,523","807","27","170,828","170,828","24,282","20,353","18,318","29,846","33,636","22,035","13,716","6,144","2,260","235","3","171,823","171,823","23,163","20,214","17,906","31,435","31,808","20,595","13,929","7,369","4,558","819","27","171,363","171,363","24,283","20,457","18,371","29,818","33,758","22,164","13,813","6,174","2,285","237","3","172,274","172,274","23,155","20,288","17,952","31,417","31,952","20,682","14,022","7,389","4,562","826","29"
"경기도  (4100000000)","6,605,203","6,605,203","604,547","694,498","927,297","978,838","1,151,870","1,099,744","690,908","330,924","115,715","10,641","221","6,530,358","6,530,358","575,120","653,928","836,202","927,520","1,118,631","1,072,453","700,512","401,657","208,218","35,140","977","6,612,308","6,612,308","603,374","692,415","925,720","978,195","1,154,441","1,101,429","696,982","331,933","116,840","10,745","234","6,537,745","6,537,745","574,345","652,075","835,040","925,833","1,120,982","1,074,164","706,739","402,465","209,649","35,467","986","6,624,654","6,624,654","601,966","690,870","931,276","977,869","1,153,073","1,103,239","703,738","333,661","117,876","10,845","241","6,549,313","6,549,313","572,899","650,634","839,952","925,000","1,119,740","1,076,074","713,168","403,905","211,032","35,899","1,010"
