거주자 성별 연령,년월,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
남 20s,201901,"710,604","232,067","177,852","212,563","107,520","112,463","85,137","17,324","913,666","101,760","110,464","134,858","116,173","112,086","166,837","216,323","42,959"
남 30s,201901,"763,751","228,571","161,255","220,598","100,087","105,926","86,426","28,395","987,205","90,384","106,987","152,759","105,741","105,902","166,775","226,925","44,016"
남 40s,201901,"772,319","260,427","196,559","248,096","121,330","122,791","97,153","30,549","1,150,096","119,630","127,396","175,235","144,256","144,406","206,366","281,587","58,564"
남 50s,201901,"735,605","281,520","208,667","253,826","113,457","119,078","107,174","19,951","1,077,853","136,735","138,049","175,376","155,083","168,092","237,791","293,013","55,864"
남 60s,201901,"528,602","230,194","138,887","155,336","68,751","77,359","63,140","11,999","635,144","102,390","96,792","122,764","113,742","122,505","180,220","200,527","34,076"
남 70s,201901,"295,071","121,325","70,528","73,012","38,167","37,859","24,951","5,597","316,349","59,787","51,922","72,128","69,766","80,845","100,827","99,048","19,507"
남 80s,201901,"86,628","33,663","22,775","22,351","11,869","12,480","6,018","2,020","105,014","21,181","19,353","31,678","27,397","30,269","38,668","33,547","6,739"
여 20s,201901,"729,088","209,548","151,115","194,603","97,988","100,519","67,358","16,840","826,543","79,752","89,411","111,909","100,024","92,950","130,666","175,873","38,507"
여 30s,201901,"764,070","219,635","153,351","207,887","98,283","100,598","78,147","30,065","944,644","83,130","96,701","133,339","99,443","95,651","148,728","209,713","42,779"
여 40s,201901,"785,882","258,628","202,798","240,466","123,205","123,876","95,509","28,187","1,118,461","111,340","118,780","153,249","133,915","124,066","188,838","265,719","53,717"
여 50s,201901,"773,880","302,291","217,953","253,675","116,310","121,599","102,109","18,633","1,045,258","131,346","131,178","159,878","147,150","148,548","225,397","282,377","51,392"
여 60s,201901,"587,471","252,393","152,058","157,903","75,700","81,079","61,601","12,351","646,511","103,626","96,956","124,090","117,370","122,083","183,632","203,444","34,700"
여 70s,201901,"350,477","149,221","93,348","90,273","48,545","46,650","28,898","6,925","389,250","75,493","65,825","91,185","92,165","110,386","133,096","132,911","23,980"
여 80s,201901,"146,791","64,355","44,305","45,552","23,148","23,575","13,577","4,190","193,801","41,046","39,298","59,920","56,078","68,740","81,730","77,817","14,639"
남 20s,201902,"709,843","231,286","177,130","211,887","107,337","112,147","84,639","17,389","912,180","101,191","110,149","134,341","115,558","111,242","165,872","215,332","42,831"
남 30s,201902,"762,684","227,785","160,867","220,173","99,916","105,633","86,300","28,701","987,602","90,159","106,879","152,365","105,394","105,584","166,362","226,145","43,956"
남 40s,201902,"772,547","260,239","196,283","248,082","121,371","122,586","96,979","30,968","1,150,966","119,230","127,268","175,434","144,106","144,091","206,051","281,392","58,521"
남 50s,201902,"736,781","281,431","208,694","254,286","113,721","119,292","107,322","20,226","1,081,494","136,815","138,210","175,960","155,367","168,274","238,153","293,566","56,051"
남 60s,201902,"530,306","230,723","139,316","156,155","68,980","77,569","63,501","12,135","639,512","103,070","97,334","123,179","114,091","122,849","180,733","201,252","34,184"
남 70s,201902,"296,125","121,868","70,884","73,482","38,293","38,044","25,130","5,632","317,534","59,870","52,047","72,359","69,825","80,917","101,182","99,563","19,574"
남 80s,201902,"87,655","34,042","23,042","22,610","12,011","12,618","6,104","2,055","106,068","21,381","19,566","31,946","27,597","30,475","39,068","33,956","6,803"
여 20s,201902,"729,708","208,933","150,565","194,095","97,790","100,315","66,957","16,946","824,857","79,312","88,990","111,371","99,317","92,189","129,684","174,894","38,452"
