축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
희망달서 큰잔치,웃는얼굴아트센터,2020-10-16,2020-10-17,"희망가득체험부스, 다문화 어울림제, 축하 콘서트 등",(재)달서문화재단+대구전업미술가협회+대구사회복지공동모금회,(재)달서문화재단,"달서구, 달서구의회",053-584-9711,http://www.dscf.okr.kr,,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.8428586646,128.5221240708,2020-03-04,3470000,대구광역시 달서구
순창장류축제,순창전통고추장민속마을 일원,2020-10-16,2020-10-18,"문화공연, 장류체험, 전시,판매, 주민참여 프로그램 등",순창군,순창장류축제추진위원회,"문화체육관광부, 전라북도, 한국관광공사",063-652-9301,http://www.jangfestival.co.kr,"강천산군립공원, 전통고추장민속마을",전라북도 순창군 순창읍 민속마을길 6-3,전라북도 순창군 순창읍 백산리 265-4,35.3686002131,127.1099773076,2020-05-08,4770000,전라북도 순창군
2020년 제16회 해운대모래축제,해운대 해수욕장,2020-05-22,2020-05-25,"모래작품 전시 및 체험, 거리퍼레이드, 다양한 공연 등(축제취소)","해운대구, (사)해운대문화관광협의회",해운대구,해당없음,051-749-4062,http://www.sandfestival.kr/,,,부산광역시 해운대구 중동 1015,35.15793348,129.1724709,2020-04-28,3330000,부산광역시 해운대구
제7회 해운대 빛축제,"해운대 해수욕장, 해운대광장",2020-11-21,2021-01-24,"점등식, 빛 시설물 설치, 체험 프로그램 등",해운대구,해운대구,해당없음,051-749-4062,http://www.haeundae.go.kr/tour/index.do?menuCd=DOM_000000309000000000,,,부산광역시 해운대구 중동 1015,35.15793348,129.1724709,2020-04-28,3330000,부산광역시 해운대구
우장산 신록축제,우장산근린공원,2020-05-23,2020-05-23,"건강걷기, 주민참여마당, 숲속음악회",강서문화원,서울특별시 강서구청,서울특별시 강서구의회,02-2600-6455,http://www.gangseo.seoul.kr/site/munhwa/index.jsp,,서울특별시 강서구 우장산로 66,서울특별시 강서구 내발산동 산19-1,37.55343651,126.8436485,2020-05-25,3150000,서울특별시 강서구
허준축제,허준근린공원,2020-10-09,2020-10-11,"개막식, 허준콘서트, 전국허준가요제, 먹거리장터, 각종 체험부스 등",강서문화원,서울특별시 강서구청,"서울특별시, 서울특별시 강서구의회",02-2600-6455,www.heojunfestival.com,,서울특별시 강서구 허준로5길 42,서울특별시 강서구 가양동 1471,37.56759867,126.8537291,2020-05-25,3150000,서울특별시 강서구
제53회 황토현동학농민혁명기념제,"정읍시 일원(천변, 제일고 등)",2020-05-09,2020-05-18,"기념식, 공식제례, 청소년 축전, 연계행사, 체험행사 등",(사)동학농민혁명계승사업회,정읍시,,063-539-5433,http://www.donghak.or.kr,,전라북도 정읍시 덕천면 동학로 742,전라북도 정읍시 덕천면 하학리 산3-5,35.63130705,126.8313917,2020-05-01,4690000,전라북도 정읍시
제31회 정읍사문화제,정읍사문화공원 일원,2020-09-26,2020-09-27,"기념행사, 공연행사, 부대행사, 체험행사 등",(사)정읍사문화제 제전위원회,정읍시,,063-539-5173,http://www.jchf.or.kr,,전라북도 정읍시 정읍사로 541,전라북도 정읍시 시기동 81-7,35.55073015,126.8615763,2020-05-01,4690000,전라북도 정읍시
제14회 정읍 평생학습축제 및 제6회 주민자치 프로그램 발표회,정읍 연지아트홀,2020-10-17,2020-10-18,"개막식, 무대발표회, 시민특강, 홍보체험부스, 이벤트 등",정읍시,정읍시,해당없음,063-539-5162,http://www.jeongeup.go.kr,,전라북도 정읍시 중앙로 73,전라북도 정읍시 연지동 39-6,35.57039929,126.8489005,2020-05-01,4690000,전라북도 정읍시
제15회 정읍 구절초꽃축제,정읍 구절초 테마공원,2020-09-26,2020-10-11,"구절초 꽃길산책, 꽃밭음악회 등",정읍시구절초축제추진위원회,정읍시,전라북도+한국수자원공사,063-539-6172,http://www.jeongeup.go.kr/culture,,전라북도 정읍시 산내면 청정로 926-65,전라북도 정읍시 산내면 매죽리 617,35.55427272,127.0188952,2020-05-01,4690000,전라북도 정읍시
