"행정구역(시군구)별",2020. 04,2020. 04,2020. 04
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명)
"전국",51842524,25857509,25985015
"서울특별시",9726787,4737843,4988944
"부산광역시",3408347,1671199,1737148
"대구광역시",2431523,1200899,1230624
"인천광역시",2950972,1478916,1472056
"광주광역시",1456096,720536,735560
"대전광역시",1471650,734902,736748
"울산광역시",1144098,587902,556196
"세종특별자치시",345216,172176,173040
"경기도",13311254,6696531,6614723
"강원도",1537780,773468,764312
"충청북도",1596613,809005,787608
"충청남도",2118457,1080256,1038201
"전라북도",1811619,900628,910991
"전라남도",1857083,932970,924113
"경상북도",2651054,1334981,1316073
"경상남도",3353380,1688178,1665202
"제주특별자치도",670595,337119,333476
